ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6079781980,mercedes-benz,280,Szczecin,Zachodniopomorskie,200,4500,80000,PLN,Stany Zjednoczone,True,False,True,,,,,1973,,145000,Osoby prywatnej,,Benzyna,,Sedan,Biały,Używane,,,Automatyczna,2021-04-02 11:10:00,https://www.otomoto.pl/oferta/mercedes-benz-280-w108-280se-4-5-v8-automat-ID6Ds91G.html#ffdcb222f1
6055282715,mercedes-benz,280,Warszawa,Mazowieckie,185,2746,214900,PLN,Stany Zjednoczone,False,False,True,,,,,1969,,76400,Firmy,,Benzyna,,Coupe,Srebrny,Używane,,,Automatyczna,2021-04-09 21:42:00,https://www.otomoto.pl/oferta/mercedes-benz-280-w111-280se-stan-kolekcjonerski-ID6BNlEf.html#ffdcb222f1
6077740295,mercedes-benz,280,Warszawa,Mazowieckie,185,2800,67000,PLN,Stany Zjednoczone,True,False,True,,,,,1990,1983-02-02 00:00:00,191000,Firmy,,Benzyna,,Kabriolet,Srebrny,Używane,,Na tylne koła,Manualna,2021-04-09 17:40:00,https://www.otomoto.pl/oferta/mercedes-benz-280-mercedes-w107-cabrio-ID6DjzTh.html#ffdcb222f1
6084104250,mercedes-benz,280,Nowogard,Zachodniopomorskie,190,2987,45000,PLN,,False,False,,,,,,2006,2006-04-05 00:00:00,322877,Osoby prywatnej,,Diesel,249,SUV,Czarny,Używane,,4x4 (stały),Automatyczna,2021-04-09 13:16:00,https://www.otomoto.pl/oferta/mercedes-benz-280-mercedes-benz-ml-280-ID6DKhrI.html#ffdcb222f1
6083478714,mercedes-benz,280,Łódź,Łódzkie,170,2778,395000,PLN,,False,False,,,,,,1968,1968-01-01 00:00:00,650,Osoby prywatnej,,Benzyna,,Kabriolet,Srebrny,Używane,,,Manualna,2021-04-09 13:03:00,https://www.otomoto.pl/oferta/mercedes-benz-280-mercedes-280-sl-w113-pagoda-1968-ID6DHEIq.html#ffdcb222f1
6078818226,mercedes-benz,280,Świdnica,Dolnośląskie,170,2800,169000,EUR,,False,,,,,,,1969,,1,Osoby prywatnej,,Benzyna,,Kabriolet,Biały,Używane,,,Automatyczna,2021-04-08 11:29:00,https://www.otomoto.pl/oferta/mercedes-benz-280-mercedes-280-sl-pagoda-martin-werk-2-lata-gwarancji-ID6Do6jg.html#ffdcb222f1
6052500017,mercedes-benz,280,Świdnica,Dolnośląskie,170,2800,99000,EUR,,False,False,,,,,,1969,,68000,Osoby prywatnej,,Benzyna,,Kabriolet,Biały,Używane,,,Automatyczna,2021-04-08 11:24:00,https://www.otomoto.pl/oferta/mercedes-benz-280-martin-werk-2-lata-gwarancji-ID6BBFK1.html#ffdcb222f1
6083720559,mercedes-benz,280,Sokołów Małopolski,Podkarpackie,140,2800,29000,PLN,,False,,,,,,,1962,,120000,Firmy,,Benzyna,,Sedan,Niebieski,Używane,,,Automatyczna,2021-04-07 03:53:00,https://www.otomoto.pl/oferta/mercedes-benz-280-w111-ID6DIFD9.html#ffdcb222f1
6083630895,mercedes-benz,280,Kielce,Świętokrzyskie,160,2800,23000,PLN,Polska,False,,,,,,,1970,,13661,Osoby prywatnej,,Benzyna,,Sedan,Czarny,Używane,,,Automatyczna,2021-04-04 20:41:00,https://www.otomoto.pl/oferta/mercedes-benz-280-1970-mercedes-benz-w108-280sel-ID6DIiiX.html#ffdcb222f1
6083271432,mercedes-benz,280,Rzeszów,Podkarpackie,100,1800,6000,PLN,,False,,,,,,,1954,1954-01-01 00:00:00,1000,Osoby prywatnej,,Diesel,,Sedan,Niebieski,Używane,,Na tylne koła,Manualna,2021-04-04 17:01:00,https://www.otomoto.pl/oferta/mercedes-benz-280-kubus-mercedes-ID6DGMNa.html#ffdcb222f1
