ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6083982189,mg,mga,Warszawa,Mazowieckie,70,1800,140000,PLN,Wielka Brytania,True,False,True,,,,,1960,1960-01-01 00:00:00,70,Osoby prywatnej,,Benzyna,,Kabriolet,Czerwony,Używane,,Na tylne koła,Manualna,2021-04-06 14:14:00,https://www.otomoto.pl/oferta/mg-mga-lovely-example-of-1960s-classic-mg-with-racing-windscreen-ID6DJLGZ.html#25471511c5
6080300443,mg,mga,Konin,Wielkopolskie,93,1622,56000,PLN,Stany Zjednoczone,False,,,,,,,1961,,111111,Osoby prywatnej,,Benzyna,,Kabriolet,Czarny,Używane,,Na tylne koła,Manualna,2021-04-09 10:05:00,https://www.otomoto.pl/oferta/mg-mga-angielski-klasyk-mga-roadster-wyjatkowo-rzadki-ID6DujTZ.html#25471511c5
6049763112,mg,mga,Konin,Wielkopolskie,70,1489,56000,PLN,Stany Zjednoczone,False,,,,,,,1957,,111111,Osoby prywatnej,,Benzyna,,Coupe,Czerwony,Używane,,Na tylne koła,Manualna,2021-04-09 10:02:00,https://www.otomoto.pl/oferta/mg-mga-angielski-klasyk-mga-coupe-wyjatkowo-rzadki-ID6BqbKo.html#25471511c5
6083982615,mg,mgb,Warszawa,Mazowieckie,70,1800,60000,PLN,Polska,False,False,True,,,,,1970,1970-06-18 00:00:00,99999,Osoby prywatnej,,Benzyna,,Coupe,Żółty,Używane,,Na tylne koła,Manualna,2021-04-06 14:16:00,https://www.otomoto.pl/oferta/mg-mgb-1970s-pininfarina-classic-style-that-never-goes-out-of-fashion-ID6DJLNR.html#6bff3d576c
6074233655,mg,mgb,Warszawa,Mazowieckie,80,1800,29500,PLN,Norwegia,False,,,,,,,1967,,999999,Firmy,,Benzyna,,Coupe,Zielony,Używane,,,Manualna,2021-04-08 12:10:00,https://www.otomoto.pl/oferta/mg-mgb-mgb-gt-1967-ID6D4REz.html#6bff3d576c
6077606138,mg,mgb,Poznań,Wielkopolskie,190,3400,75800,PLN,,False,False,,,,,,1972,,5000,Firmy,,Benzyna,,Coupe,Inny kolor,Używane,,Na tylne koła,Manualna,2021-04-06 15:21:00,https://www.otomoto.pl/oferta/mg-mgb-niepowtarzalna-restauracja-wersji-gt-ID6Dj0Zs.html#6bff3d576c
6080759234,mg,mgb,Radziejowice,Mazowieckie,100,1800,23000,PLN,,False,,,,,,,1973,,146500,Firmy,,Benzyna,,Kabriolet,Inny kolor,Używane,,,Manualna,2021-04-06 08:36:00,https://www.otomoto.pl/oferta/mg-mgb-1973-ID6DvffQ.html#6bff3d576c
6075352229,mg,midget,Koszalin,Zachodniopomorskie,67,1493,89900,PLN,,False,,,,,,,1976,,89708,Firmy,,Benzyna,,Kabriolet,Inny kolor,Używane,,,Manualna,2021-04-05 11:35:00,https://www.otomoto.pl/oferta/mg-midget-cabrio-niepowtarzalny-145-ID6D9yE5.html#009ff4303a
6083870039,mg,other,Gorzów Wielkopolski,Lubuskie,,,9900,PLN,,False,,,,,,,1985,,77000,Osoby prywatnej,,Benzyna,,Auta małe,Czerwony,Używane,,,,2021-04-01 12:11:00,https://www.otomoto.pl/oferta/mg-mg-cabrio-ID6DJiv7.html#baf72412f6
6082996485,mg,td,Warszawa,Mazowieckie,60,1250,155000,PLN,,False,,,,,,,1950,,99999,Firmy,,Benzyna,,Kabriolet,Żółty,Używane,,,Manualna,2021-04-08 19:29:00,https://www.otomoto.pl/oferta/mg-td-mg-td-z-1950-0ryginal-ID6DFDgx.html#37fa9971b1
