ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6079671348,mini,1000,Poznań,Wielkopolskie,42,1000,38500,PLN,,False,,,,,,,1987,,96255,Osoby prywatnej,,Benzyna,,Auta małe,Niebieski,Używane,,Na przednie koła,Manualna,2021-04-05 18:36:00,https://www.otomoto.pl/oferta/mini-1000-austin-mini-faltdach-ID6DrGfi.html#c4a58cde26
6083385387,mini,1300,Baranowo,Wielkopolskie,63,1273,83900,PLN,,False,,,,,,,1992,,65000,Firmy,,Benzyna,,Kompakt,Zielony,Używane,,Na przednie koła,Manualna,2021-04-05 17:09:00,https://www.otomoto.pl/oferta/mini-1300-mk-ii-odrestaurowany-stan-kolekcjonerski-ID6DHgr9.html#2cd7928efe
6077200623,mini,1300,Gniechowice,Dolnośląskie,53,1273,27000,PLN,Niemcy,False,,True,,,,,1992,,100000,Osoby prywatnej,,Benzyna,,Auta małe,Inny kolor,Używane,,Na przednie koła,Manualna,2021-04-04 11:32:00,https://www.otomoto.pl/oferta/mini-1300-mini-rover-1-3-spi-bdb-stan-po-renowacji-aerograf-british-open-ID6DhjuT.html#2cd7928efe
6083932603,mini,1300,Lipiny,Podkarpackie,60,1300,20900,PLN,,False,,,,,,,1993,,99000,Osoby prywatnej,,Benzyna,,Auta małe,Czarny,Używane,,,Manualna,2021-04-03 18:30:00,https://www.otomoto.pl/oferta/mini-1300-mini-morris-1300-ID6DJyNd.html#2cd7928efe
6079595904,mini,1300,Koszalin,Zachodniopomorskie,53,1275,20999,PLN,,False,False,,,,,,1992,,38000,Osoby prywatnej,,Benzyna,,Auta małe,Zielony,Używane,,Na przednie koła,Manualna,2021-03-31 12:00:00,https://www.otomoto.pl/oferta/mini-1300-klasyczne-mini-wersja-british-open-classic-ID6DrmCs.html#2cd7928efe
6083933491,mini,clubman,Bielany Wrocławskie,Dolnośląskie,112,1995,49000,PLN,Polska,False,False,,,,,,2013,2013-02-07 00:00:00,90100,Firmy,True,Diesel,,Kombi,Biały,Używane,,Na przednie koła,Automatyczna,2021-04-09 19:20:00,https://www.otomoto.pl/oferta/mini-clubman-cooper-sd-salon-polska-automat-skora-navi-xenon-bi-xenon-ID6DJz1x.html#5e1ff6e304
6084105833,mini,clubman,Malbork,Pomorskie,143,1995,39900,PLN,,False,,,,,,,2013,,123000,Osoby prywatnej,,Diesel,,Auta miejskie,Szary,Używane,,,Manualna,2021-04-09 13:28:00,https://www.otomoto.pl/oferta/mini-clubman-mini-clubman-s-2-0d-143km-2013r-max-wersja-panorama-xenon-ID6DKhRf.html#5e1ff6e304
6084088741,mini,clubman,Chełmek,Małopolskie,102,1499,48700,PLN,Polska,False,False,True,,True,,,2018,2018-02-02 00:00:00,69700,Firmy,,Benzyna,119,Kompakt,Szary,Używane,True,Na przednie koła,Manualna,2021-04-09 12:56:00,https://www.otomoto.pl/oferta/mini-clubman-model2018r-krajowy-1wlasciciel-cena-netto48700pln-ID6DKdpz.html#5e1ff6e304
6084092009,mini,clubman,Wrocław,Dolnośląskie,116,1496,63468,PLN,Włochy,False,,,,True,,,2019,,35382,Osoby prywatnej,,Diesel,104,Kombi,Inny kolor,Używane,,Na przednie koła,Automatyczna,2021-04-09 10:03:00,https://www.otomoto.pl/oferta/mini-clubman-clubman-one-d-navi-radary-full-led-czujniki-ID6DKegh.html#5e1ff6e304
6081017039,mini,clubman,Kiełpin Poduchowny,Mazowieckie,136,1499,84900,PLN,Kanada,False,False,,,,,,2018,,25500,Osoby prywatnej,,Benzyna,,Kombi,Szary,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-07 22:05:00,https://www.otomoto.pl/oferta/mini-clubman-2018-mini-clubman-all4-1-4turbo-27-000km-inport-kanada-po-oplatach-wwa-ID6DxkjZ.html#5e1ff6e304
6080599537,mini,clubman,Warszawa,Mazowieckie,136,1499,112900,PLN,Polska,False,,True,,,,,2020,,5,Firmy,True,Benzyna,,Kombi,Srebrny,Nowe,,Na przednie koła,Automatyczna,2021-04-07 12:56:00,https://www.otomoto.pl/oferta/mini-clubman-cooper-136km-1-5t-benzyna-automat-ubezpieczenie-za-0-zl-ID6DwzI5.html#5e1ff6e304
6065596692,mini,clubman,Łódź,Łódzkie,306,1998,167400,PLN,Polska,False,,True,,,,,2020,,4500,Firmy,True,Benzyna,146,Kombi,Srebrny,Nowe,,4x4 (dołączany automatycznie),Automatyczna,2021-04-07 12:49:00,https://www.otomoto.pl/oferta/mini-clubman-john-cooper-works-all4-ID6CuCMI.html#5e1ff6e304
6083405080,mini,clubman,Łódź,Łódzkie,150,1995,64900,PLN,Polska,False,False,True,,True,,,2018,,132800,Firmy,,Diesel,109,SUV,Czerwony,Używane,True,Na przednie koła,Manualna,2021-04-06 15:59:00,https://www.otomoto.pl/oferta/mini-clubman-rezerwacja-dostep-komfortowy-ogrzewanie-foteli-navi-salonpl-ID6DHlyM.html#5e1ff6e304
6080027036,mini,clubman,Warszawa,Mazowieckie,192,1998,151500,PLN,Polska,False,,True,,,,,2020,,5,Firmy,True,Benzyna,,Kombi,Inny kolor,Nowe,,Na przednie koła,Automatyczna,2021-04-06 10:34:00,https://www.otomoto.pl/oferta/mini-clubman-cooper-s-192km-2-0t-benzyna-automat-ubezpieczenie-za-0-zl-ID6DtaMc.html#5e1ff6e304
6083408292,mini,clubman,Wieliczka,Małopolskie,306,1998,61500,PLN,,False,False,,,True,,,2019,,22000,Osoby prywatnej,True,Benzyna,,Kombi,Zielony,Używane,True,4x4 (stały),Automatyczna,2021-04-05 09:05:00,https://www.otomoto.pl/oferta/mini-clubman-oferta-przejecia-leasingu-mini-clubman-john-cooper-works-ID6DHmoA.html#5e1ff6e304
6082989270,mini,clubman,Warszawa,Mazowieckie,136,1499,107300,PLN,Polska,False,,True,,,,,2020,,5,Firmy,True,Benzyna,,Kombi,Niebieski,Nowe,,Na przednie koła,Automatyczna,2021-04-04 18:30:00,https://www.otomoto.pl/oferta/mini-clubman-cooper-136km-1-5t-benzyna-automat-ubezpieczenie-za-0-zl-ID6DFBoa.html#5e1ff6e304
6083348036,mini,clubman,Krasne,Podkarpackie,116,1496,88000,PLN,,False,,True,,,True,,2019,,2,Firmy,,Diesel,107,Kombi,Beżowy,Używane,,Na przednie koła,Manualna,2021-04-04 16:38:00,https://www.otomoto.pl/oferta/mini-clubman-od-reki-2019r-jedyny-dealer-mini-w-rzeszowie-ID6DH6II.html#5e1ff6e304
6065115213,mini,clubman,Kraków,Małopolskie,136,1499,96900,PLN,Polska,False,False,True,,True,,,2019,2019-04-10 00:00:00,2700,Firmy,True,Benzyna,131,Auta miejskie,Srebrny,Używane,True,Na przednie koła,Automatyczna,2021-04-04 14:20:00,https://www.otomoto.pl/oferta/mini-clubman-cooper-wyprzedaz-w-aso-demo-maly-przebieg-mega-rabat-rezerwacja-ID6CsBvW.html#5e1ff6e304
6084152010,mini,clubman,Kraków,Małopolskie,184,1598,35500,PLN,,False,False,True,,,,,2012,,137500,Osoby prywatnej,,Benzyna,137,Kompakt,Czarny,Używane,,Na przednie koła,Manualna,2021-04-10 09:28:00,https://www.otomoto.pl/oferta/mini-clubman-mini-clubman-s-184-km-full-wersja-ID6DKtS2.html#5e1ff6e304
6083781030,mini,clubman,Pakoszówka,Podkarpackie,112,1995,24900,PLN,Francja,False,,,,,,,2011,,100280,Firmy,,Diesel,138,Kombi,Szary,Używane,,Na przednie koła,Automatyczna,2021-04-10 08:41:00,https://www.otomoto.pl/oferta/mini-clubman-2-0-diesel-112km-automat-100tys-km-ID6DIWmu.html#5e1ff6e304
