ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6082822712,mitsubishi,outlander,Wałbrzych,Dolnośląskie,202,1997,18500,PLN,Szwajcaria,False,,,,,,I (2001-2006),2005,2006-04-28 00:00:00,193000,Osoby prywatnej,,Benzyna+LPG,,SUV,Czarny,Używane,,4x4 (stały),Manualna,2021-04-12 20:17:00,https://www.otomoto.pl/oferta/mitsubishi-outlander-mitsubishi-outlander-turbo-ID6DEU3K.html#5d1259c087
6084205242,mitsubishi,outlander,Strzelin,Dolnośląskie,121,1998,67800,PLN,,False,,True,,True,,III (2012-),2016,,168000,Osoby prywatnej,,Hybryda,44,SUV,Czarny,Używane,True,4x4 (stały),Automatyczna,2021-04-12 19:30:00,https://www.otomoto.pl/oferta/mitsubishi-outlander-hybryda-lift-4x4-nawigacja-kamera-alcantara-skora-ledy-nowy-model-ID6DKHIC.html#5d1259c087
6082809165,mitsubishi,outlander,Żywocice,Opolskie,140,1968,22400,PLN,Niemcy,False,False,,,True,,II (2006-2013),2007,,201100,Firmy,True,Diesel,177,SUV,Srebrny,Używane,True,4x4 (dołączany ręcznie),Manualna,2021-04-12 12:24:00,https://www.otomoto.pl/oferta/mitsubishi-outlander-zarejestrowany-4x4-el-szyby-klima-grzane-fotele-alu-zadbany-ID6DEQxf.html#5d1259c087
6084176277,mitsubishi,outlander,Chwaszczyno,Pomorskie,121,1998,59500,PLN,Holandia,False,False,,,,,III (2012-),2014,,250000,Osoby prywatnej,,Hybryda,44,SUV,Czarny,Używane,,4x4 (stały),Automatyczna,2021-04-11 22:08:00,https://www.otomoto.pl/oferta/mitsubishi-outlander-phev-2-0-business-edition-4x4-kamera-bdb-bateria-ID6DKAbr.html#5d1259c087
6078518001,mitsubishi,outlander,Lewiczyn,Mazowieckie,150,2268,49900,PLN,Polska,False,False,True,,True,,III (2012-),2013,2013-12-24 00:00:00,134338,Osoby prywatnej,,Diesel,,SUV,Srebrny,Używane,True,4x4 (dołączany ręcznie),Automatyczna,2021-04-11 21:54:00,https://www.otomoto.pl/oferta/mitsubishi-outlander-2-2-diesel-7-miejsc-automat-aso-serwis-1-wl-135-100-km-ID6DmQcW.html#5d1259c087
6084165831,mitsubishi,outlander,Głogów Małopolski,Podkarpackie,140,1968,31900,PLN,Polska,False,False,True,,True,,II (2006-2013),2010,2010-09-06 00:00:00,217000,Firmy,,Diesel,183,SUV,Szary,Używane,True,4x4 (dołączany automatycznie),Manualna,2021-04-11 21:01:00,https://www.otomoto.pl/oferta/mitsubishi-outlander-2-0-140km-4x4-7-osobowy-salon-pl-serwisowany-i-wlasciciel-xenon-skora-ID6DKxsX.html#5d1259c087
6084175372,mitsubishi,outlander,Skrzeszew,Mazowieckie,150,1998,109900,PLN,,False,False,True,,,,III (2012-),2020,,4144,Osoby prywatnej,,Benzyna,171,SUV,Biały,Używane,True,4x4 (dołączany automatycznie),Automatyczna,2021-04-11 20:45:00,https://www.otomoto.pl/oferta/mitsubishi-outlander-przebieg-4144km-nowka-2-4-benzyna-4wd-ID6DKzVQ.html#5d1259c087
6084162426,mitsubishi,outlander,Bieniewice,Mazowieckie,150,1998,48000,PLN,,False,False,,,True,,III (2012-),2014,2014-08-21 00:00:00,209800,Osoby prywatnej,,Benzyna+LPG,167,SUV,Biały,Używane,True,Na przednie koła,Manualna,2021-04-10 17:09:00,https://www.otomoto.pl/oferta/mitsubishi-outlander-polski-salon-instalacja-lpg-serwisowany-tylko-w-aso-ID6DKvA2.html#5d1259c087
6081523196,mitsubishi,outlander,Szczecin,Zachodniopomorskie,121,1998,55000,PLN,,False,False,True,,True,,III (2012-),2014,,194539,Osoby prywatnej,,Hybryda,44,SUV,Czarny,Używane,,4x4 (stały),Automatyczna,2021-04-10 16:12:00,https://www.otomoto.pl/oferta/mitsubishi-outlander-mitsubishi-outlander-phev-ID6DzrZO.html#5d1259c087
6084158747,mitsubishi,outlander,Wołów,Dolnośląskie,140,1968,23900,PLN,,False,False,True,,,,II (2006-2013),2007,,1973400,Osoby prywatnej,,Diesel,177,SUV,Czarny,Używane,,4x4 (dołączany ręcznie),Manualna,2021-04-10 13:55:00,https://www.otomoto.pl/oferta/mitsubishi-outlander-mitsubishi-outlander-ii-ID6DKwCH.html#5d1259c087
