ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6084054213,nissan,200-sx,Ostrów Wielkopolski,Wielkopolskie,200,1998,39999,PLN,,False,False,,,,,,1994,,107548,Firmy,,Benzyna,,Coupe,Bordowy,Używane,,,Manualna,2021-04-08 11:47:00,https://www.otomoto.pl/oferta/nissan-200-sx-200-sx-1-8-turbo-swietny-stan-dealer-professional-ID6DK4qF.html#5054f628e0
6078704182,nissan,200-sx,Rzeszów,Podkarpackie,270,4000,27000,PLN,Niemcy,False,False,,,,,,1990,,220000,Osoby prywatnej,,Benzyna,,Coupe,Czarny,Używane,,Na tylne koła,Manualna,2021-04-08 01:49:00,https://www.otomoto.pl/oferta/nissan-200-sx-nissan-200sx-v8-1uz-270km-ID6DnCDQ.html#5054f628e0
6083669870,nissan,200-sx,Oborniki,Wielkopolskie,200,1998,47900,PLN,,False,False,True,,,,,1995,,170000,Osoby prywatnej,,Benzyna,,Coupe,Zielony,Używane,,Na tylne koła,Manualna,2021-04-05 19:34:00,https://www.otomoto.pl/oferta/nissan-200-sx-nissan-200-sx-profesjonalny-tuning-400-km-rezerwacja-ID6DIsrA.html#5054f628e0
6027273887,nissan,200-sx,Rumia,Pomorskie,170,1804,44900,PLN,Polska,False,False,True,,,,,1993,,147000,Firmy,,Benzyna,,Coupe,Czarny,Używane,True,Na tylne koła,Manualna,2021-04-04 21:23:00,https://www.otomoto.pl/oferta/nissan-200-sx-stan-kolekcjonerski-ID6zTPgX.html#5054f628e0
6077524950,nissan,240-sx,Warszawa,Mazowieckie,150,2400,44000,PLN,,False,,,,,,,1972,,80000,Osoby prywatnej,,Benzyna,,Coupe,Czerwony,Używane,,,Manualna,2021-04-06 17:18:00,https://www.otomoto.pl/oferta/nissan-240-sx-datsun-240z-manual-ID6DiFRY.html#4c87a6b98a
6083659746,nissan,280-zx,Grudziądz,Kujawsko-pomorskie,200,2700,38000,PLN,,False,,,,,,,1982,,232391,Firmy,,Benzyna,,Sedan,Bordowy,Używane,,Na tylne koła,Manualna,2021-04-05 15:13:00,https://www.otomoto.pl/oferta/nissan-280-zx-datsun-280zx-280-zx-amer-auto-ID6DIpOi.html#b67b91f7ec
6083811694,nissan,300-zx,Knurów,Śląskie,228,2960,46900,PLN,,False,,,,,,,1987,,250000,Osoby prywatnej,,Benzyna,,Coupe,Czerwony,Używane,,Na tylne koła,Manualna,2021-04-09 16:54:00,https://www.otomoto.pl/oferta/nissan-300-zx-turbo-z31-zamiana-ID6DJ3l4.html#2a7b9b6011
6083457553,nissan,300-zx,Radom,Mazowieckie,268,2960,15000,PLN,,False,,True,True,,,,1991,,123000,Osoby prywatnej,,Benzyna,,Coupe,Biały,Używane,,Na tylne koła,Automatyczna,2021-04-08 19:53:00,https://www.otomoto.pl/oferta/nissan-300-zx-twin-turbo-tuning-ID6DHzd7.html#2a7b9b6011
6083407021,nissan,300-zx,Ciechanów,Mazowieckie,268,2960,69900,PLN,,False,False,,,,,,1992,1992-01-01 00:00:00,110500,Firmy,,Benzyna,,Kabriolet,Niebieski,Używane,,,Manualna,2021-04-08 12:21:00,https://www.otomoto.pl/oferta/nissan-300-zx-bardzo-zadbany-doinwestowany-ID6DHm45.html#2a7b9b6011
6081805590,nissan,300-zx,Łobez,Zachodniopomorskie,228,2960,19000,PLN,,False,,,,,,,1989,,1000,Osoby prywatnej,,Benzyna,,Coupe,Biały,Używane,,Na tylne koła,Automatyczna,2021-04-06 22:23:00,https://www.otomoto.pl/oferta/nissan-300-zx-ID6DADsy.html#2a7b9b6011
6080246117,nissan,300-zx,Białystok,Podlaskie,268,2960,67000,PLN,,False,False,True,,True,,,1990,,113000,Osoby prywatnej,,Benzyna,,Coupe,Biały,Używane,True,,Manualna,2021-04-06 06:48:00,https://www.otomoto.pl/oferta/nissan-300-zx-nissan-300zx-jedyny-taki-na-swiecie-350-km-lamborghini-projekt-ID6Du5LL.html#2a7b9b6011
6080509999,nissan,300-zx,Kraków,Małopolskie,268,2960,69000,PLN,Szwajcaria,False,False,,,,,,1993,,152000,Osoby prywatnej,,Benzyna,,Coupe,Czarny,Używane,,Na tylne koła,Automatyczna,2021-04-05 11:54:00,https://www.otomoto.pl/oferta/nissan-300-zx-tt-2-2-targa-zamiana-na-ghibli-sq4-ID6DwcpW.html#2a7b9b6011
6079819214,nissan,300-zx,Łobez,Zachodniopomorskie,173,2960,25000,PLN,Stany Zjednoczone,False,,,,,,,1987,,234000,Osoby prywatnej,,Benzyna,,Auta miejskie,Niebieski,Używane,,Na tylne koła,Manualna,2021-04-04 21:46:00,https://www.otomoto.pl/oferta/nissan-300-zx-2-osobowy-unikat-z-usa-ID6DsiIe.html#2a7b9b6011
6073396603,nissan,300-zx,Mysłowice,Śląskie,268,2960,64900,PLN,,False,,,,,,,1994,,171000,Osoby prywatnej,,Benzyna,,Kabriolet,Czarny,Używane,,Na tylne koła,Automatyczna,2021-04-03 16:51:00,https://www.otomoto.pl/oferta/nissan-300-zx-cabrio-ID6D1lTJ.html#2a7b9b6011
6071358758,nissan,300-zx,Chełm,Lubelskie,230,2959,65000,PLN,Szwajcaria,False,False,,,True,,,1994,1994-06-01 00:00:00,202350,Firmy,,Benzyna,,Kabriolet,Bordowy,Używane,,Na tylne koła,Manualna,2021-04-03 11:54:00,https://www.otomoto.pl/oferta/nissan-300-zx-cabrio-szwajcaria-ID6CSNLg.html#2a7b9b6011
6079165123,nissan,300-zx,Proszówki,Małopolskie,228,2960,29900,PLN,,False,,True,,,,,1985,,89000,Osoby prywatnej,,Benzyna,,Coupe,Czarny,Używane,,Na tylne koła,Manualna,2021-04-03 11:48:00,https://www.otomoto.pl/oferta/nissan-300-zx-turbo-v6-manual-ID6Dpyyn.html#2a7b9b6011
6082022986,nissan,300-zx,Warszawa,Mazowieckie,228,3000,46900,PLN,,False,False,,,,,,1990,,144000,Osoby prywatnej,,Benzyna,,Coupe,Srebrny,Używane,,Na tylne koła,Manualna,2021-04-02 21:58:00,https://www.otomoto.pl/oferta/nissan-300-zx-ID6DBy0V.html#2a7b9b6011
6080047929,nissan,300-zx,Lublin,Lubelskie,228,2960,34000,PLN,,False,,,,,,,1990,,169000,Osoby prywatnej,,Benzyna,,Coupe,Bordowy,Używane,,Na tylne koła,Automatyczna,2021-03-31 20:10:00,https://www.otomoto.pl/oferta/nissan-300-zx-piekny-nissan-300zx-california-super-stan-ID6Dtgdb.html#2a7b9b6011
6077519201,nissan,350-z,Witnica,Lubuskie,285,3498,42000,PLN,,False,False,,,,,,2002,,165500,Osoby prywatnej,,Benzyna,,Coupe,Srebrny,Używane,,Na tylne koła,Manualna,2021-04-10 10:36:00,https://www.otomoto.pl/oferta/nissan-350-z-nissan-350z-ID6DiEnf.html#3ad195d4b6
6076065338,nissan,350-z,Nowy Dwór Mazowiecki,Mazowieckie,300,3498,27900,PLN,,False,False,,,,,,2007,,75000,Osoby prywatnej,,Benzyna,,Auta małe,Szary,Używane,,Na tylne koła,Manualna,2021-04-09 13:41:00,https://www.otomoto.pl/oferta/nissan-350-z-2007r-3-5-300km-bez-wkladu-plastidip-ID6Dcy9Q.html#3ad195d4b6
6080900129,nissan,350-z,Łódź,Łódzkie,300,3498,29500,PLN,Inny,False,,True,,True,,,2006,2006-06-06 00:00:00,148950,Osoby prywatnej,,Benzyna,,Coupe,Fioletowy,Używane,,Na tylne koła,Automatyczna,2021-04-08 13:13:00,https://www.otomoto.pl/oferta/nissan-350-z-350z-fairlady-z33-z-japonii-lift-nismo-l40-ID6DvPUl.html#3ad195d4b6
6078489610,nissan,350-z,Gdynia,Pomorskie,280,3498,39350,PLN,,False,False,,,,,,2003,,155000,Osoby prywatnej,,Benzyna,280,Coupe,Szary,Używane,,Na tylne koła,Manualna,2021-04-08 00:03:00,https://www.otomoto.pl/oferta/nissan-350-z-nissan-350z-ID6DmIP0.html#3ad195d4b6
6083742016,nissan,350-z,Warszawa,Mazowieckie,280,3498,79900,PLN,Niemcy,False,False,True,,,,,2004,2004-06-24 00:00:00,216941,Osoby prywatnej,,Benzyna,280,Coupe,Inny kolor,Używane,,Na tylne koła,Manualna,2021-04-07 18:46:00,https://www.otomoto.pl/oferta/nissan-350-z-nissan-350z-nismo-v2-ID6DILde.html#3ad195d4b6
6083361835,nissan,350-z,Góra,Dolnośląskie,280,3498,29500,PLN,,False,,,,,,,2006,,51200,Osoby prywatnej,,Benzyna,,Coupe,Czerwony,Używane,,,Automatyczna,2021-04-07 10:18:00,https://www.otomoto.pl/oferta/nissan-350-z-ID6DHajh.html#3ad195d4b6
6084007132,nissan,350-z,Stargard Szczeciński,Zachodniopomorskie,280,3498,40000,PLN,Stany Zjednoczone,False,False,,,,,,2005,2008-12-03 00:00:00,101000,Osoby prywatnej,,Benzyna,280,Coupe,Czerwony,Używane,,Na tylne koła,Manualna,2021-04-07 08:26:00,https://www.otomoto.pl/oferta/nissan-350-z-nissan-350-z-ID6DJSbi.html#3ad195d4b6
6083854805,nissan,350-z,Płock,Mazowieckie,280,3498,43900,PLN,,False,False,,,,,,2004,,194000,Osoby prywatnej,,Benzyna+LPG,280,Coupe,Srebrny,Używane,,Na tylne koła,Manualna,2021-04-06 23:25:00,https://www.otomoto.pl/oferta/nissan-350-z-bremboboseszperamanual-ID6DJeyp.html#3ad195d4b6
6077191409,nissan,350-z,Płock,Mazowieckie,600,,91900,PLN,Niemcy,False,False,True,,,,,2007,,88000,Osoby prywatnej,,Benzyna,,Coupe,Szary,Używane,True,,Manualna,2021-04-06 18:45:00,https://www.otomoto.pl/oferta/nissan-350-z-wersja-europa-manual-ID6Dhh6h.html#3ad195d4b6
6083991863,nissan,350-z,Mosina,Wielkopolskie,280,3498,44900,PLN,,False,False,,,,,,2005,,66000,Osoby prywatnej,,Benzyna,280,Kabriolet,Czarny,Używane,,Na tylne koła,Manualna,2021-04-06 18:31:00,https://www.otomoto.pl/oferta/nissan-350-z-nissan-350z-roadster-europa-ID6DJOd1.html#3ad195d4b6
6083977577,nissan,350-z,Ślesin,Kujawsko-pomorskie,280,3498,43500,PLN,Stany Zjednoczone,False,False,,,,,,2004,2020-05-31 00:00:00,220800,Osoby prywatnej,,Benzyna,,Coupe,Czarny,Używane,,Na tylne koła,Automatyczna,2021-04-06 12:35:00,https://www.otomoto.pl/oferta/nissan-350-z-nissan-350z-ID6DJKuB.html#3ad195d4b6
