ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6084135740,polonez,15,Dobrzany,Zachodniopomorskie,70,1500,3000,PLN,Polska,False,,,,,,,1984,,10000000,Firmy,,Benzyna+LPG,,Auta miejskie,Biały,Używane,,Na tylne koła,Manualna,2021-04-09 21:50:00,https://www.otomoto.pl/oferta/polonez-1-5-polonez-wrak-na-kolach-chyba-borewicz-ID6DKpDC.html#905931b230
6066496175,polonez,15,Ustroń,Śląskie,82,1481,35900,PLN,Polska,True,False,True,,,,,1987,1987-10-30 00:00:00,63720,Osoby prywatnej,,Benzyna,,Auta miejskie,Biały,Używane,,,Manualna,2021-04-08 08:38:00,https://www.otomoto.pl/oferta/polonez-1-5-auto-kolekcjonerskie-zabytek-perelka-ID6CyoMw.html#905931b230
6079982729,polonez,15,Koszalin,Zachodniopomorskie,75,1481,29900,PLN,Polska,False,,,,,,,1984,,29269,Firmy,,Benzyna,,Kompakt,Szary,Używane,,Na tylne koła,Manualna,2021-04-05 11:51:00,https://www.otomoto.pl/oferta/polonez-1-5-mr83-ID6DsZfz.html#905931b230
6068137860,polonez,15,Warszawa,Mazowieckie,75,1500,39999,PLN,,False,,,,,,,1980,,51579,Osoby prywatnej,,Benzyna,,Kompakt,Żółty,Używane,,,Manualna,2021-04-04 00:46:00,https://www.otomoto.pl/oferta/polonez-1-5-fso-warszawa-125pn-borewicz-ID6CFhRi.html#905931b230
6083240332,polonez,15,Kraków,Małopolskie,68,1500,22000,PLN,Polska,True,False,True,,,,,1988,1988-05-30 00:00:00,95000,Osoby prywatnej,,Benzyna,,Kompakt,Szary,Używane,,Na tylne koła,Manualna,2021-04-03 21:02:00,https://www.otomoto.pl/oferta/polonez-1-5-zabytek-stan-bdb-oryginal-ID6DGEHy.html#905931b230
6083237349,polonez,15,Proszowice,Małopolskie,82,1481,9500,PLN,Polska,False,,,,,,,1993,1993-04-05 00:00:00,56000,Osoby prywatnej,,Benzyna,,Kompakt,Czerwony,Używane,,Na tylne koła,Manualna,2021-04-03 18:05:00,https://www.otomoto.pl/oferta/polonez-1-5-polonez-caro-pierwsze-wydanie-waski-most-ID6DGDWr.html#905931b230
6074868533,polonez,15,Białystok,Podlaskie,89,1498,9999,PLN,,False,,,,,,,1987,,80000,Osoby prywatnej,,Benzyna,,Auta miejskie,Biały,Używane,,,Manualna,2021-04-02 18:13:00,https://www.otomoto.pl/oferta/polonez-1-5-polonez-1500-akwarium-wyprzedaz-kolekcji-ID6D7vOx.html#905931b230
6075308012,polonez,16,Łódź,Łódzkie,75,1600,5800,PLN,Polska,False,False,True,,,,,1997,,154000,Osoby prywatnej,,Benzyna+LPG,,Kompakt,Zielony,Używane,,Na tylne koła,Manualna,2021-04-10 21:42:00,https://www.otomoto.pl/oferta/polonez-1-6-polonez-caro-plus-1-6-bez-korozji-auto-dla-hipstera-ID6D9n8U.html#1936b6031b
6083676839,polonez,16,Witnica,Lubuskie,78,1600,11000,PLN,,False,,,,,,,1995,,75650,Osoby prywatnej,,Benzyna,,Kompakt,Inny kolor,Używane,,,Manualna,2021-04-08 10:55:00,https://www.otomoto.pl/oferta/polonez-1-6-ID6DIufZ.html#1936b6031b
6083393633,polonez,16,Kętrzyn,Warmińsko-mazurskie,62,1598,4000,PLN,Polska,False,False,,,,,,2000,2000-10-09 00:00:00,112722,Osoby prywatnej,,Benzyna,,Kombi,Bordowy,Używane,True,Na tylne koła,Manualna,2021-04-07 21:17:00,https://www.otomoto.pl/oferta/polonez-1-6-polonez-kombi-1-6-ID6DHiA9.html#1936b6031b
6080672499,polonez,16,Topólka,Kujawsko-pomorskie,76,1598,2999,PLN,,False,False,,,,,,1999,1999-06-22 00:00:00,151189,Firmy,,Benzyna+LPG,,Sedan,Bordowy,Używane,,,Manualna,2021-04-06 18:37:00,https://www.otomoto.pl/oferta/polonez-1-6-caro-plus-1-6-benzyna-lpg-w-pelni-sprawny-ID6DwSGT.html#1936b6031b
6083950509,polonez,16,Rzeszów,Podkarpackie,76,1598,2750,PLN,,False,False,True,,,,,1997,,135600,Osoby prywatnej,,Benzyna+LPG,,Auta miejskie,Zielony,Używane,True,Na tylne koła,Manualna,2021-04-06 11:47:00,https://www.otomoto.pl/oferta/polonez-1-6-polonez-atu-czarne-blachy-97-r-lpg-ID6DJDs1.html#1936b6031b
6078708125,polonez,16,Przemyśl,Podkarpackie,79,1598,5300,PLN,,False,False,,,,,,1997,,131000,Osoby prywatnej,,Benzyna,,Kompakt,Zielony,Używane,,,Manualna,2021-04-01 15:35:00,https://www.otomoto.pl/oferta/polonez-1-6-polonez-1-6-benzyna-ID6DnDFr.html#1936b6031b
