ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6083865682,renault,10,Imiełków,Wielkopolskie,110,1461,17800,PLN,,False,,,,,,,2010,,137000,Osoby prywatnej,,Diesel,128,Minivan,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-01 10:23:00,https://www.otomoto.pl/oferta/renault-10-scenic-1-5-dci-ID6DJhnQ.html#00d0b3ff1a
6080250112,renault,18,Zgierz,Łódzkie,80,1647,3900,PLN,,False,False,,,,,,1983,,180000,Firmy,,Benzyna+LPG,,Kombi,Czerwony,Używane,,,Manualna,2021-04-07 19:50:00,https://www.otomoto.pl/oferta/renault-18-renault-r18-gtl-kombi-unikat-lpg-zarejestrowany-zobacz-ID6Du6Oc.html#032c1fe963
6083768938,renault,19,Wola Rębkowska,Mazowieckie,90,1721,8400,PLN,Szwajcaria,False,,,,,,II (1992-1997),1993,,110000,Firmy,,Benzyna,,Kompakt,Bordowy,Używane,,Na przednie koła,Manualna,2021-04-10 15:51:00,https://www.otomoto.pl/oferta/renault-19-1-8i-cabrio-szwajcar-ID6DISds.html#ac296e3b40
6082273781,renault,19,Tarnów,Małopolskie,58,1397,6999,PLN,,False,False,True,,,,I (1988-1992),1988,1991-03-25 00:00:00,178000,Firmy,,Benzyna,,Kompakt,Czerwony,Używane,True,Na przednie koła,Manualna,2021-04-08 08:32:00,https://www.otomoto.pl/oferta/renault-19-renault-19-caly-w-oryginale-swietny-stan-ID6DCBg1.html#ac296e3b40
6083992954,renault,19,Nowa Sól,Lubuskie,73,1721,5000,PLN,,False,,,,,,II (1992-1997),1995,1997-04-02 00:00:00,108000,Osoby prywatnej,,Benzyna,,Sedan,Zielony,Używane,,,Manualna,2021-04-06 19:29:00,https://www.otomoto.pl/oferta/renault-19-sprzedam-ID6DJOuC.html#ac296e3b40
6083453444,renault,19,Bydgoszcz,Kujawsko-pomorskie,73,1700,8990,PLN,Niemcy,False,,,,,,I (1988-1992),1991,,150000,Firmy,,Benzyna,,Auta miejskie,Brązowy,Używane,,,Manualna,2021-03-31 14:33:00,https://www.otomoto.pl/oferta/renault-19-1-7-5-drzwi-ladnie-utrzymana-import-niemcy-oplacona-ID6DHy8Q.html#ac296e3b40
6083954239,renault,4,Zgierz,Łódzkie,28,845,12500,PLN,,False,,True,,,,,1974,,17667,Firmy,,Benzyna,,Auta małe,Biały,Używane,,Na przednie koła,Manualna,2021-04-05 21:48:00,https://www.otomoto.pl/oferta/renault-4-renault-4-l-w-pelni-sprawny-dobra-baza-na-klasyka-zobacz-ID6DJEqb.html#ec683cf5a0
6073105008,renault,5,Poręba,Śląskie,74,1721,6300,PLN,Niemcy,False,False,,,,,I (2005-2010),1989,,81000,Firmy,,Benzyna,,Kompakt,Czerwony,Używane,,Na przednie koła,Automatyczna,2021-04-10 18:04:00,https://www.otomoto.pl/oferta/renault-5-klasyk-w-automacie-wersja-prima-10-lat-1-wl-ID6D082A.html#d5db8c5fdd
6081915268,renault,5,Bielsko-Biała,Śląskie,54,1237,11111,PLN,Austria,False,False,True,,True,,I (2005-2010),1989,,39186,Firmy,,Benzyna,,Auta małe,Biały,Używane,True,Na przednie koła,Manualna,2021-04-08 20:07:00,https://www.otomoto.pl/oferta/renault-5-klasyk-i-wlasciciel-stan-kolekcjonerski-okazja-specjalna-cena-ID6DB5Zy.html#d5db8c5fdd
6083976279,renault,5,Katowice,Śląskie,160,1397,125000,EUR,Francja,True,False,,,,,,1980,1980-01-01 00:00:00,84851,Firmy,,Benzyna,,Coupe,Niebieski,Używane,,,Manualna,2021-04-06 12:16:00,https://www.otomoto.pl/oferta/renault-5-turbo-ID6DJK9F.html#d5db8c5fdd
6073433094,renault,5,Łomża,Podlaskie,88,1721,25000,PLN,,False,False,,,,,,1988,,500000,Osoby prywatnej,,Benzyna,,Auta małe,Inny kolor,Używane,,Na przednie koła,Manualna,2021-04-04 11:47:00,https://www.otomoto.pl/oferta/renault-5-renault-5-gte-ID6D1woi.html#d5db8c5fdd
6048522502,renault,5,Wieruszów,Łódzkie,58,1395,16900,PLN,,False,,,,,,I (2005-2010),1990,,193654,Osoby prywatnej,,Benzyna,,Kabriolet,Czerwony,Używane,,,Manualna,2021-04-03 20:00:00,https://www.otomoto.pl/oferta/renault-5-renault-5-cabrio-ebs-ID6BkZ0y.html#d5db8c5fdd
6079725639,renault,avantime,Warszawa,Mazowieckie,163,1998,27800,PLN,Niemcy,False,,,,True,,,2003,2003-05-15 00:00:00,206000,Firmy,,Benzyna,,Kompakt,Niebieski,Używane,True,Na przednie koła,Manualna,2021-04-07 15:14:00,https://www.otomoto.pl/oferta/renault-avantime-2-0-m-t-163km-2003r-b-zadbany-ID6DrUmX.html#5d020105de
6071855196,renault,avantime,Kraków,Małopolskie,210,2946,44000,PLN,,False,,,,,,,2002,,117000,Osoby prywatnej,,Benzyna,,Minivan,Inny kolor,Używane,,Na przednie koła,Manualna,2021-04-01 16:58:00,https://www.otomoto.pl/oferta/renault-avantime-avantime-privilege-v6-super-stan-ID6CUSUk.html#5d020105de
6083774778,renault,captur,Gorzów Wielkopolski,Lubuskie,90,1461,43900,PLN,Niemcy,False,False,,,,,I (2013-2019),2016,,57769,Osoby prywatnej,,Diesel,99,SUV,Niebieski,Używane,,Na przednie koła,Automatyczna,2021-04-10 20:22:00,https://www.otomoto.pl/oferta/renault-captur-renault-captur-1-5-dci-automat-90km-ID6DITJE.html#697adf7737
6081589336,renault,captur,Warszawa,Mazowieckie,90,899,39999,PLN,Polska,False,False,,,True,,I (2013-2019),2016,2016-11-28 00:00:00,20000,Firmy,,Benzyna,,Kompakt,Niebieski,Używane,True,Na przednie koła,Manualna,2021-04-10 16:30:00,https://www.otomoto.pl/oferta/renault-captur-0-9-tce-90km-gwarancja-serwisowany-1-wlasciciel-warszawa-ID6DzJcA.html#697adf7737
6080922283,renault,captur,Pruszcz Gdański,Pomorskie,90,898,45900,PLN,Niemcy,False,False,True,,True,,I (2013-2019),2017,2017-08-28 00:00:00,27282,Osoby prywatnej,,Benzyna,,SUV,Złoty,Używane,,Na przednie koła,Manualna,2021-04-10 16:24:00,https://www.otomoto.pl/oferta/renault-captur-captur-2017-zamienie-lub-sprzedam-ID6DvWFF.html#697adf7737
6082470379,renault,captur,Opole,Opolskie,160,1598,121900,PLN,,False,False,,,,,II (2019-),2020,,500,Firmy,,Hybryda,,SUV,Biały,Używane,,Na przednie koła,Automatyczna,2021-04-10 13:16:00,https://www.otomoto.pl/oferta/renault-captur-renault-captur-intens-e-tech-160-plug-in-hybrid-okazja-ID6DDqoX.html#697adf7737
6083647783,renault,captur,Warszawa,Mazowieckie,120,1197,44900,PLN,,False,False,True,,True,,,2014,2014-12-01 00:00:00,96732,Firmy,,Benzyna,125,SUV,Beżowy,Używane,,Na przednie koła,Automatyczna,2021-04-10 09:30:00,https://www.otomoto.pl/oferta/renault-captur-tce-edc-120km-multifunkcja-czujniki-isofix-bluetooth-usb-ID6DImHl.html#697adf7737
6083995652,renault,captur,Warszawa,Mazowieckie,90,898,46900,PLN,,False,False,True,,True,,,2015,2015-09-01 00:00:00,38179,Firmy,True,Benzyna,113,SUV,Beżowy,Używane,,Na przednie koła,Manualna,2021-04-10 09:30:00,https://www.otomoto.pl/oferta/renault-captur-energy-tce-90km-fv23-gps-czujniki-bluetooth-keyless-go-isofix-ID6DJPc8.html#697adf7737
6083504349,renault,captur,Skoki,Wielkopolskie,110,1461,40999,PLN,,False,,True,,,,I (2013-2019),2016,,74322,Osoby prywatnej,,Diesel,,SUV,Inny kolor,Używane,,Na przednie koła,Manualna,2021-04-09 23:47:00,https://www.otomoto.pl/oferta/renault-captur-1-5-dci-110km-2016r-ID6DHLnT.html#697adf7737
6080280364,renault,captur,Ostrzeszów,Wielkopolskie,90,898,42500,PLN,,False,,,,,,I (2013-2019),2017,,29000,Osoby prywatnej,,Benzyna,,Auta miejskie,Srebrny,Używane,,,Manualna,2021-04-09 17:04:00,https://www.otomoto.pl/oferta/renault-captur-renault-captur-lift-0-9-tce-2017r-ID6DueG8.html#697adf7737
6083007032,renault,captur,Ostrzeszów,Wielkopolskie,130,1300,59900,PLN,Polska,False,False,True,,True,,,2019,,19000,Osoby prywatnej,,Benzyna,,Auta miejskie,Inny kolor,Używane,,,Manualna,2021-04-09 17:02:00,https://www.otomoto.pl/oferta/renault-captur-limited-1-3-tce-bezwypadkowy-salonpolska-zarejestrowany-fakturavat-ID6DFG0E.html#697adf7737
6083927466,renault,captur,Błonie,Mazowieckie,90,898,45900,PLN,Polska,False,False,True,,True,,I (2013-2019),2016,,38000,Osoby prywatnej,,Benzyna,,Auta miejskie,Beżowy,Używane,True,,Manualna,2021-04-09 13:37:00,https://www.otomoto.pl/oferta/renault-captur-jak-nowy-kupiony-w-salonie-ID6DJxsm.html#697adf7737
6080452861,renault,captur,Bydgoszcz,Kujawsko-pomorskie,130,1333,93000,PLN,Polska,False,,True,,,True,II (2019-),2020,,5,Firmy,True,Benzyna,,SUV,Niebieski,Nowe,,Na przednie koła,Manualna,2021-04-09 11:07:00,https://www.otomoto.pl/oferta/renault-captur-intens-tce-130-fap-ID6DuXyl.html#697adf7737
6084094466,renault,captur,Warszawa,Mazowieckie,90,898,40900,PLN,,False,,True,,,,I (2013-2019),2015,,130287,Firmy,True,Benzyna,,SUV,Czarny,Używane,True,Na przednie koła,Manualna,2021-04-09 10:43:00,https://www.otomoto.pl/oferta/renault-captur-darmowa-dostawa-navi-klima-auto-grzane-fotele-i-wlasciciel-ID6DKeTU.html#697adf7737
6083718281,renault,captur,Łódź,Łódzkie,120,1197,50000,PLN,Polska,False,False,,,True,,,2015,2015-10-07 00:00:00,45219,Firmy,True,Benzyna,,SUV,Beżowy,Używane,True,Na przednie koła,Automatyczna,2021-04-08 23:25:00,https://www.otomoto.pl/oferta/renault-captur-1-2-tce-limited-salon-polska-1-wlasciciel-serwis-aso-automat-ID6DIF2p.html#697adf7737
6082688925,renault,captur,Toruń,Kujawsko-pomorskie,140,1332,101900,PLN,,False,,True,,,True,II (2019-),2020,,8,Firmy,True,Benzyna,,SUV,Szary,Nowe,,Na przednie koła,Automatyczna,2021-04-08 23:07:00,https://www.otomoto.pl/oferta/renault-captur-intens-tce-140-edc-g-2021-nowy-nierejestrowany-wyprzedaz-2020-ID6DElfT.html#697adf7737
6082997515,renault,captur,Rzeszów,Podkarpackie,90,999,75900,PLN,Polska,False,,True,,,,,2020,,5,Firmy,True,Benzyna,,Kompakt,Czerwony,Nowe,,Na przednie koła,Manualna,2021-04-08 14:54:00,https://www.otomoto.pl/oferta/renault-captur-zen-tce-90-g-2021r-ID6DFDx9.html#697adf7737
6082143198,renault,captur,Lublin,Lubelskie,140,1300,107900,PLN,,False,,True,,,,II (2019-),2021,,4,Firmy,,Benzyna,,SUV,Inny kolor,Nowe,,Na przednie koła,Automatyczna,2021-04-08 14:39:00,https://www.otomoto.pl/oferta/renault-captur-intens-tce140-edc-kamera365-multi-sense-akty-temp-ID6DC3hQ.html#697adf7737
6082143065,renault,captur,Lublin,Lubelskie,140,1300,107500,PLN,,False,,True,,,,II (2019-),2021,,4,Firmy,,Benzyna,,SUV,Czerwony,Nowe,,Na przednie koła,Automatyczna,2021-04-08 14:39:00,https://www.otomoto.pl/oferta/renault-captur-intens-tce140-edc-kamera365-multi-sense-akty-temp-ID6DC3fH.html#697adf7737
6083907999,renault,captur,Chorzów,Śląskie,100,999,80700,PLN,Polska,False,,True,,,,II (2019-),2020,,1,Firmy,,Benzyna+LPG,,Kompakt,Biały,Nowe,,Na przednie koła,Manualna,2021-04-08 13:14:00,https://www.otomoto.pl/oferta/renault-captur-1-0-tce-zen-lpg-100km-pakiet-klimat-komfort-swiatla-led-ID6DJson.html#697adf7737
6083056654,renault,captur,Myślenice,Małopolskie,120,1197,32900,PLN,Polska,False,False,,,True,,I (2013-2019),2014,2014-06-05 00:00:00,39000,Osoby prywatnej,,Benzyna,,SUV,Czarny,Używane,,Na przednie koła,Automatyczna,2021-04-08 09:22:00,https://www.otomoto.pl/oferta/renault-captur-captur-automat-nowy-silnik-zestaw-sprzegla-do-wymiana-ID6DFSW0.html#697adf7737
6083688613,renault,captur,Zabrze,Śląskie,90,898,47001,PLN,Polska,False,False,True,,True,,,2017,2017-09-15 00:00:00,28571,Firmy,True,Benzyna,,SUV,Czarny,Używane,True,Na przednie koła,Manualna,2021-04-08 07:33:00,https://www.otomoto.pl/oferta/renault-captur-0-9-tce-salon-polska-1-wlasciciel-serwis-aso-vat-23-navi-ID6DIxjT.html#697adf7737
6083898898,renault,captur,Kraków,Małopolskie,90,898,48000,PLN,Polska,False,False,,,True,,,2016,2016-05-30 00:00:00,66917,Firmy,True,Benzyna,,SUV,Bordowy,Używane,,Na przednie koła,Manualna,2021-04-08 07:30:00,https://www.otomoto.pl/oferta/renault-captur-0-9-tce-salon-polska-serwis-aso-skora-navi-klimatronic-tempomat-ID6DJq1A.html#697adf7737
6083688106,renault,captur,Piaseczno,Mazowieckie,90,898,49001,PLN,Polska,False,False,True,,,,,2019,2019-04-26 00:00:00,36280,Firmy,True,Benzyna,,SUV,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-08 07:13:00,https://www.otomoto.pl/oferta/renault-captur-0-9-tce-salon-polska-vat-23-navi-klimatronic-tempomat-ID6DIxbI.html#697adf7737
6082899528,renault,captur,Bydgoszcz,Kujawsko-pomorskie,90,999,79900,PLN,Polska,False,False,True,,,,II (2019-),2020,,5,Firmy,True,Benzyna,,SUV,Inny kolor,Nowe,True,Na przednie koła,Manualna,2021-04-07 19:00:00,https://www.otomoto.pl/oferta/renault-captur-zen-1-0-tce-90-ID6DFe2I.html#697adf7737
