ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6083750933,rover,214,Poznań,Wielkopolskie,103,1396,1499,PLN,,False,False,,,,,,1999,,200000,Osoby prywatnej,,Benzyna,,Auta miejskie,Niebieski,Używane,,,Manualna,2021-04-08 00:59:00,https://www.otomoto.pl/oferta/rover-214-1-4-ID6DINx3.html#1b8a2e0ddc
6083464137,rover,220,Opole,Opolskie,86,2000,2200,PLN,,False,,,,,,,1997,1997-05-13 00:00:00,200000,Firmy,,Diesel,,Kompakt,Zielony,Używane,,Na przednie koła,Manualna,2021-04-01 10:05:00,https://www.otomoto.pl/oferta/rover-220-2-0-diesel-klimatyzacja-ubezpieczony-zarejestrowany-ID6DHAWj.html#b09d1aaf14
6084076935,rover,25,Warszawa,Mazowieckie,109,1588,3600,PLN,,False,,True,,,,,2000,2009-09-11 00:00:00,200000,Osoby prywatnej,,Benzyna,,Auta miejskie,Inny kolor,Używane,,Na przednie koła,Manualna,2021-04-08 18:34:00,https://www.otomoto.pl/oferta/rover-25-sprzedam-bezposrednio-samochod-marki-rover-25-ID6DKal9.html#7ac71b7617
6083421700,rover,25,Wrocław,Dolnośląskie,103,1396,1999,PLN,,False,False,,,,,,2003,,159000,Firmy,,Benzyna,162,Auta miejskie,Zielony,Używane,,Na przednie koła,Manualna,2021-04-08 16:57:00,https://www.otomoto.pl/oferta/rover-25-1-4-benzyna-2003-r-ID6DHpSQ.html#7ac71b7617
6083589834,rover,416,Kęty,Małopolskie,115,2000,2999,PLN,,False,,,,,,,2005,,176000,Firmy,,Diesel,,Sedan,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-05 22:23:00,https://www.otomoto.pl/oferta/rover-416-ID6DI7CG.html#ee14335c53
6084110391,rover,45,Kraków,Małopolskie,109,1588,2990,PLN,,False,False,True,,True,,,2001,,196100,Osoby prywatnej,,Benzyna,,Sedan,Zielony,Używane,,Na przednie koła,Manualna,2021-04-09 15:57:00,https://www.otomoto.pl/oferta/rover-45-1-6i-16v-109km-klimatyzacja-bezwypadkowy-stan-bardzo-dobry-ID6DKj2L.html#854e7c48c1
6083236249,rover,45,Kraków,Małopolskie,116,1796,4500,PLN,,False,,,,,,,2005,2006-02-07 00:00:00,200000,Osoby prywatnej,,Benzyna+LPG,,Sedan,Czarny,Używane,,,Automatyczna,2021-04-09 14:54:00,https://www.otomoto.pl/oferta/rover-45-rover-45-lift-ID6DGDDH.html#854e7c48c1
6081678938,rover,45,Wągrowiec,Wielkopolskie,101,1994,3000,PLN,Niemcy,False,False,,,,,,2002,2002-01-30 00:00:00,281000,Firmy,,Diesel,,Sedan,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-09 09:06:00,https://www.otomoto.pl/oferta/rover-45-zarejestrowany-ID6DA6wM.html#854e7c48c1
6083712780,rover,45,Rogów,Łódzkie,109,1588,9999,PLN,Niemcy,False,False,True,,,,,2004,2004-12-01 00:00:00,130000,Osoby prywatnej,,Benzyna+LPG,166,Kompakt,Czarny,Używane,,Na przednie koła,Manualna,2021-04-08 20:41:00,https://www.otomoto.pl/oferta/rover-45-mg-rover-45-lift-pga-edition-honda-civic-bmw-b-lpg-gaz-ID6DIDBG.html#854e7c48c1
6084070734,rover,45,Bielsko-Biała,Śląskie,101,1994,2300,PLN,,False,False,,,,,,2001,,159000,Osoby prywatnej,,Diesel,,Auta miejskie,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-08 16:13:00,https://www.otomoto.pl/oferta/rover-45-klimatyzacja-2kpl-kol-ID6DK8J8.html#854e7c48c1
6083991092,rover,45,Wschowa,Lubuskie,101,1994,3100,PLN,Niemcy,False,False,True,,,,,2004,,297000,Osoby prywatnej,,Diesel,,Kompakt,Inny kolor,Używane,,Na przednie koła,Manualna,2021-04-06 18:00:00,https://www.otomoto.pl/oferta/rover-45-2-0-lift-ID6DJO0A.html#854e7c48c1
6080366377,rover,45,Mąkolice,Łódzkie,113,1995,3900,PLN,,False,False,,,,,,2004,,270000,Osoby prywatnej,,Diesel,,Kompakt,Niebieski,Używane,,,Manualna,2021-04-05 16:55:00,https://www.otomoto.pl/oferta/rover-45-rover-45-ID6DuB3r.html#854e7c48c1
6083479693,rover,45,Warszawa,Mazowieckie,101,1994,3900,PLN,,False,False,,,,,,2002,,249586,Firmy,,Diesel,,Sedan,Zielony,Używane,,Na przednie koła,Manualna,2021-04-01 13:12:00,https://www.otomoto.pl/oferta/rover-45-rover-45-oplaty-aktualne-klimatyzacja-sprawna-ID6DHEYd.html#854e7c48c1
6081799083,rover,75,Stargard Szczeciński,Zachodniopomorskie,116,1951,4500,PLN,Holandia,False,False,True,,,,,2002,,260500,Osoby prywatnej,,Diesel,163,Sedan,Inny kolor,Używane,,Na przednie koła,Manualna,2021-04-09 17:47:00,https://www.otomoto.pl/oferta/rover-75-sprzedam-rover-75-stan-bdb-260-000-km-rok-2002-ID6DABLB.html#dca5020556
6084042175,rover,75,Staszów,Świętokrzyskie,150,1991,5850,PLN,,False,False,,,,,,2002,,210041,Osoby prywatnej,,Benzyna,191,Sedan,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-08 09:12:00,https://www.otomoto.pl/oferta/rover-75-skora-elek-fotele-klima-automatyczna-2-strefy-alufelgi-ID6DK1iw.html#dca5020556
