ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6084150629,saab,9-3,Płock,Mazowieckie,180,1900,19700,PLN,,False,,,,,,II (2003-2011),2009,,208200,Osoby prywatnej,,Diesel,,Sedan,Czarny,Używane,,,Manualna,2021-04-10 08:03:00,https://www.otomoto.pl/oferta/saab-9-3-manual-180km-ID6DKtwL.html#2c8ea53d64
6084140176,saab,9-3,Kutno,Łódzkie,150,1988,13900,PLN,Holandia,False,,,,,,II (2003-2011),2006,,215652,Osoby prywatnej,,Benzyna,188,Kombi,Niebieski,Używane,,Na przednie koła,Manualna,2021-04-09 23:45:00,https://www.otomoto.pl/oferta/saab-9-3-2-0turbo-150km-climatr-polskory-swiezy-import-mega-stan-gwarancja-ID6DKqNa.html#2c8ea53d64
6084138012,saab,9-3,Ostrów Mazowiecka,Mazowieckie,180,1910,24900,PLN,,False,,,,,,II (2003-2011),2008,,220000,Osoby prywatnej,,Diesel,135,Sedan,Czarny,Używane,,Na przednie koła,Manualna,2021-04-09 22:49:00,https://www.otomoto.pl/oferta/saab-9-3-1-9tid180kmbi-xenonynaviskoryalu16i-wlascicielaso-ID6DKqeg.html#2c8ea53d64
6082809948,saab,9-3,Łańcut,Podkarpackie,150,1910,19900,PLN,Niemcy,False,False,True,,,True,II (2003-2011),2006,2007-11-30 00:00:00,189600,Osoby prywatnej,,Diesel,159,Kombi,Niebieski,Używane,,Na przednie koła,Manualna,2021-04-09 16:49:00,https://www.otomoto.pl/oferta/saab-9-3-saab-93-sport-combi-doinwestowany-oryginalny-lakier-i-szyby-prywatnie-ID6DEQJS.html#2c8ea53d64
6084046513,saab,9-3,Radom,Mazowieckie,175,1988,13900,PLN,,False,,,,,,II (2003-2011),2007,2007-11-14 00:00:00,186000,Osoby prywatnej,,Benzyna,,Kombi,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-08 09:45:00,https://www.otomoto.pl/oferta/saab-9-3-2-0t-150km-lakier-perla-skora-nowszy-model-ID6DK2qt.html#2c8ea53d64
6083446292,saab,9-3,Szczecin,Zachodniopomorskie,160,1910,16900,PLN,Niemcy,False,,True,,True,,II (2003-2011),2007,,195381,Osoby prywatnej,,Diesel,159,Kombi,Czarny,Używane,,Na przednie koła,Automatyczna,2021-04-07 20:55:00,https://www.otomoto.pl/oferta/saab-9-3-saab-9-3-1-9ttid-160ps-xenon-navi-skora-pdc-hifi-elektryka-serwis-aso-ID6DHvhu.html#2c8ea53d64
6084037886,saab,9-3,Garwolin,Mazowieckie,150,2290,8998,PLN,,False,,,,True,,I (1998-2002),1998,,222000,Osoby prywatnej,,Benzyna,,Kabriolet,Zielony,Używane,,Na przednie koła,Manualna,2021-04-07 19:08:00,https://www.otomoto.pl/oferta/saab-9-3-serwis-cabrio-jeden-wlasciciel-ID6DK0bk.html#2c8ea53d64
6082958868,saab,9-3,Zielona Góra,Lubuskie,250,2792,46000,PLN,,False,,,,,,II (2003-2011),2007,2007-04-30 00:00:00,110500,Osoby prywatnej,,Benzyna,,Kabriolet,Czarny,Używane,,Na przednie koła,Automatyczna,2021-04-07 10:22:00,https://www.otomoto.pl/oferta/saab-9-3-saab-9-3-aero-cabrio-automat-ID6DFttO.html#2c8ea53d64
6083852407,saab,9-3,Ostrowiec Świętokrzyski,Świętokrzyskie,210,1998,21990,PLN,Szwecja,False,False,True,,True,,II (2003-2011),2007,,224500,Firmy,,Benzyna,174,Kombi,Czarny,Używane,True,Na przednie koła,Manualna,2021-04-06 21:26:00,https://www.otomoto.pl/oferta/saab-9-3-2-0t-210km-vector-skory-alu-serwis-gwarancja-6-mcy-gratis-niemiec-ID6DJdWJ.html#2c8ea53d64
6083706802,saab,9-3,Chodzież,Wielkopolskie,150,1998,9300,PLN,,False,False,,,,,II (2003-2011),2004,,236000,Osoby prywatnej,,Benzyna,184,Sedan,Czarny,Używane,,Na przednie koła,Manualna,2021-04-06 16:30:00,https://www.otomoto.pl/oferta/saab-9-3-full-navi-skora-benzyna-1998cm3-150km-ID6DIC3g.html#2c8ea53d64
