ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6084039929,smart,forfour,Łódź,Łódzkie,71,999,21000,PLN,,False,False,True,,,,II (2014-),2014,2015-01-12 00:00:00,129452,Firmy,True,Benzyna,,Kompakt,Biały,Używane,True,Na przednie koła,Manualna,2021-04-07 19:31:00,https://www.otomoto.pl/oferta/smart-forfour-1-0-1-wlasciciel-klima-tempomat-bezkolizyjny-ID6DK0Ih.html#4cec7c6459
6084008561,smart,forfour,Jutrosin,Wielkopolskie,95,1332,9900,PLN,Niemcy,False,False,True,,True,,I (2004-2006),2004,2004-04-16 00:00:00,236000,Osoby prywatnej,,Benzyna,,Auta małe,Srebrny,Używane,True,Na przednie koła,Manualna,2021-04-07 08:54:00,https://www.otomoto.pl/oferta/smart-forfour-smart-forfour-1-wlasciciel-serwis-aso-mercedes-benz-atrakcyjny-ID6DJSyl.html#4cec7c6459
6084170613,smart,forfour,Łochów,Mazowieckie,109,1499,6000,PLN,Niemcy,False,False,,,,,I (2004-2006),2004,2016-04-21 00:00:00,282084,Osoby prywatnej,,Benzyna+LPG,,Auta małe,Czarny,Używane,,Na przednie koła,Manualna,2021-04-11 13:39:00,https://www.otomoto.pl/oferta/smart-forfour-sprzedam-samochod-samrt-forfour-ID6DKyI5.html#4cec7c6459
6084170159,smart,forfour,Niegowonice,Śląskie,64,1124,7200,PLN,Polska,False,False,True,,,,I (2004-2006),2005,2005-08-29 00:00:00,145876,Osoby prywatnej,,Benzyna,128,Auta miejskie,Inny kolor,Używane,,Na przednie koła,Manualna,2021-04-11 12:58:00,https://www.otomoto.pl/oferta/smart-forfour-super-smart-forfour-sprawna-klima-zadbany-dlugie-oplaty-2kpl-kol-ID6DKyAL.html#4cec7c6459
6078456668,smart,forfour,Kraków,Małopolskie,82,,103000,PLN,Polska,False,False,True,,True,,II (2014-),2019,2020-08-20 00:00:00,500,Firmy,,Elektryczny,,Auta miejskie,Srebrny,Nowe,,Na tylne koła,Automatyczna,2021-04-11 12:31:00,https://www.otomoto.pl/oferta/smart-forfour-smart-eq-100-elektryczny-samochod-testowy-dilera-z-gwarancja-ID6DmAfG.html#4cec7c6459
6080028825,smart,forfour,Kutno,Łódzkie,75,1100,8900,PLN,Holandia,False,False,,,,,I (2004-2006),2006,,170000,Firmy,,Benzyna,,Auta miejskie,Inny kolor,Używane,,Na przednie koła,Manualna,2021-04-11 09:35:00,https://www.otomoto.pl/oferta/smart-forfour-1-1-12v-75-koni-gwarancja-klima-oplacony-ID6Dtbf3.html#4cec7c6459
6084167875,smart,forfour,Skawina,Małopolskie,109,1499,9200,PLN,,False,,,,,,I (2004-2006),2004,2006-06-19 00:00:00,130000,Firmy,,Benzyna,,Auta małe,Czarny,Używane,,,Automatyczna,2021-04-11 09:32:00,https://www.otomoto.pl/oferta/smart-forfour-smart-forfour-piekny-automat-skory-ID6DKxZW.html#4cec7c6459
6082806910,smart,forfour,Paczków,Opolskie,95,1332,6900,PLN,Niemcy,False,,True,,True,,I (2004-2006),2005,,155000,Firmy,,Benzyna,,Auta małe,Czarny,Używane,True,Na przednie koła,Manualna,2021-04-10 20:45:00,https://www.otomoto.pl/oferta/smart-forfour-1-3-klima-elektryka-wzorowy-ID6DEPVS.html#4cec7c6459
6081761956,smart,forfour,Nowy Tomyśl,Wielkopolskie,71,999,32890,PLN,,False,,,,,,II (2014-),2018,,6000,Osoby prywatnej,,Benzyna,,Auta małe,Czarny,Używane,,,Manualna,2021-04-10 20:09:00,https://www.otomoto.pl/oferta/smart-forfour-minimalny-przebieg-ledy-ID6DAs6M.html#4cec7c6459
6083774862,smart,forfour,Świebodzin,Lubuskie,75,1124,7499,PLN,,False,,True,,True,,I (2004-2006),2004,,155000,Firmy,,Benzyna,,Auta małe,Srebrny,Używane,,Na przednie koła,Manualna,2021-04-10 20:06:00,https://www.otomoto.pl/oferta/smart-forfour-1-1-75km-klimatyzacja-czujniki-parkowania-ks-serwisowa-ID6DITL0.html#4cec7c6459
