ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6083866382,subaru,b9-tribeca,Olsztyn,Warmińsko-mazurskie,245,3000,24900,PLN,,False,,True,,True,,,2006,,228000,Firmy,,Benzyna,291,Minivan,Niebieski,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-11 10:27:00,https://www.otomoto.pl/oferta/subaru-b9-tribeca-3-0-benzyna-7-osobowy-automat-pod-gaz-swiezy-niezmeczony-ID6DJhz8.html#0a98a8bcd5
6083454945,subaru,b9-tribeca,Przemyśl,Podkarpackie,245,3000,21900,PLN,Stany Zjednoczone,False,False,True,,,,,2007,2008-07-16 00:00:00,300000,Osoby prywatnej,,Benzyna+LPG,291,SUV,Złoty,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-10 16:58:00,https://www.otomoto.pl/oferta/subaru-b9-tribeca-subaru-tribeca-ID6DHyx3.html#0a98a8bcd5
6076864156,subaru,b9-tribeca,Wałbrzych,Dolnośląskie,245,3000,21900,PLN,Stany Zjednoczone,False,False,,,,,,2006,2006-12-01 00:00:00,196000,Osoby prywatnej,,Benzyna,291,SUV,Czarny,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-02 11:09:00,https://www.otomoto.pl/oferta/subaru-b9-tribeca-sprzedam-pilnie-subaru-4x4-ID6DfTY0.html#0a98a8bcd5
6074418883,subaru,baja,Poznań,Wielkopolskie,210,2457,20000,PLN,,False,,,,,,,2004,,320000,Osoby prywatnej,,Benzyna+LPG,,SUV,Czarny,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-08 17:22:00,https://www.otomoto.pl/oferta/subaru-baja-subaru-baja-turbo-zamiana-na-land-cruisera-120-ID6D5DQ7.html#7463ad2224
6083438186,subaru,brz,Piaseczno,Mazowieckie,200,1998,59500,PLN,,False,False,,,True,,,2013,2013-01-01 00:00:00,74000,Osoby prywatnej,,Benzyna,181,Coupe,Biały,Używane,True,Na tylne koła,Manualna,2021-04-09 13:39:00,https://www.otomoto.pl/oferta/subaru-brz-2-0-200km-sport-regularnie-serwisowany-biala-perla-ID6DHuaK.html#deb04213fe
6072032893,subaru,brz,Owińska,Wielkopolskie,280,2000,65000,PLN,,False,False,True,,True,,,2013,,52660,Firmy,True,Benzyna,,Coupe,Biały,Używane,True,Na tylne koła,Manualna,2021-04-08 16:30:00,https://www.otomoto.pl/oferta/subaru-brz-ID6CWD8p.html#deb04213fe
6083714014,subaru,brz,Pabianice,Łódzkie,217,1998,70000,PLN,Stany Zjednoczone,False,False,,,,,,2015,,100000,Osoby prywatnej,,Benzyna,,Coupe,Czarny,Używane,True,Na tylne koła,Manualna,2021-04-06 20:23:00,https://www.otomoto.pl/oferta/subaru-brz-subaru-brz-przygotowany-na-tor-ID6DIDWA.html#deb04213fe
6083383574,subaru,brz,Ciemne,Mazowieckie,200,1998,39950,PLN,Stany Zjednoczone,False,,,,,,,2017,,30336,Firmy,,Benzyna,183,Coupe,Niebieski,Używane,,Na tylne koła,Automatyczna,2021-04-05 16:33:00,https://www.otomoto.pl/oferta/subaru-brz-lekko-uszkodzony-ID6DHfXU.html#deb04213fe
6083943121,subaru,brz,Sieraków,Mazowieckie,200,1998,39900,PLN,Niemcy,False,False,,,,,,2014,2015-01-12 00:00:00,29967,Osoby prywatnej,,Benzyna,164,Coupe,Czarny,Używane,,Na tylne koła,Automatyczna,2021-04-04 20:37:00,https://www.otomoto.pl/oferta/subaru-brz-subaru-brz-ID6DJBvR.html#deb04213fe
6083569204,subaru,brz,Szubin,Kujawsko-pomorskie,204,1998,98500,PLN,Kanada,False,False,,,,,,2019,,20550,Osoby prywatnej,,Benzyna,196,Coupe,Biały,Używane,,Na tylne koła,Manualna,2021-04-03 12:52:00,https://www.otomoto.pl/oferta/subaru-brz-ID6DI2fV.html#deb04213fe
6079289266,subaru,brz,Bielsko-Biała,Śląskie,200,1998,52900,PLN,,False,,,,,,,2015,,159250,Osoby prywatnej,,Benzyna,,Coupe,Szary,Używane,,Na tylne koła,Manualna,2021-03-30 11:33:00,https://www.otomoto.pl/oferta/subaru-brz-subaru-brz-2-0-200km-2015-manualna-skrzynia-pefekcyjny-zadbany-stan-ID6Dq4QG.html#deb04213fe
6083945387,subaru,forester,Tomaszów Mazowiecki,Łódzkie,230,2453,15700,PLN,Stany Zjednoczone,False,False,,,,,II (2002-2008),2005,,405000,Osoby prywatnej,,Benzyna+LPG,,SUV,Szary,Używane,,4x4 (stały),Manualna,2021-04-11 11:33:00,https://www.otomoto.pl/oferta/subaru-forester-2-5-xt-spelnione-marzenie-ID6DJC7p.html#6099d8be63
6084109992,subaru,forester,Białystok,Podlaskie,182,2500,105900,PLN,,False,False,,,True,,V (2019 - ),2019,,15415,Osoby prywatnej,,Benzyna,,SUV,Biały,Używane,True,4x4 (stały),Automatyczna,2021-04-09 14:35:00,https://www.otomoto.pl/oferta/subaru-forester-wersja-limited-jak-nowy-biala-perla-ID6DKiVk.html#6099d8be63
6084097523,subaru,forester,Olkusz,Małopolskie,241,1995,93900,PLN,,False,,,,True,,IV (2013-),2018,2018-08-31 00:00:00,52309,Osoby prywatnej,,Benzyna,197,SUV,Czarny,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-09 11:28:00,https://www.otomoto.pl/oferta/subaru-forester-subaru-forester-iv-xt-2-0-turbo-241-km-4x4-2018r-52309km-sport-full-ID6DKfHd.html#6099d8be63
6084084327,subaru,forester,Stare Babice,Mazowieckie,147,1998,89000,PLN,,False,False,True,,True,,IV (2013-),2016,2016-04-06 00:00:00,69200,Osoby prywatnej,,Diesel,158,SUV,Czerwony,Używane,True,4x4 (stały),Automatyczna,2021-04-09 00:11:00,https://www.otomoto.pl/oferta/subaru-forester-subaru-forester-2016-swiatla-biled-1-wlasciciel-jasna-skora-automat-ID6DKcgn.html#6099d8be63
6084042898,subaru,forester,Iława,Warmińsko-mazurskie,150,1994,21500,PLN,Niemcy,False,,,,,,III (2008-2012),2008,2008-06-27 00:00:00,211696,Osoby prywatnej,,Benzyna,198,SUV,Srebrny,Używane,,4x4 (dołączany automatycznie),Manualna,2021-04-07 23:39:00,https://www.otomoto.pl/oferta/subaru-forester-subaru-forester-sh-2008-rok-ksenon-szyber-wielofunkcyjna-kierownica-ID6DK1ua.html#6099d8be63
6084042670,subaru,forester,Iława,Warmińsko-mazurskie,125,1994,17300,PLN,,False,,True,,,,II (2002-2008),2004,2004-09-29 00:00:00,249700,Osoby prywatnej,,Benzyna,,SUV,Srebrny,Używane,,4x4 (stały),Automatyczna,2021-04-07 23:05:00,https://www.otomoto.pl/oferta/subaru-forester-subaru-forester-sg-2004-rok-dwoch-wlascicieli-bez-rdzy-ID6DK1qu.html#6099d8be63
6084042431,subaru,forester,Iława,Warmińsko-mazurskie,125,1994,19500,PLN,,False,,True,,,,II (2002-2008),2005,2005-05-03 00:00:00,204460,Osoby prywatnej,,Benzyna+LPG,,SUV,Zielony,Używane,,4x4 (stały),Manualna,2021-04-07 22:33:00,https://www.otomoto.pl/oferta/subaru-forester-subaru-forester-2005-rok-lpg-bezwypadkowy-ID6DK1mD.html#6099d8be63
6078503734,subaru,forester,Poznań,Wielkopolskie,158,1994,18900,PLN,Polska,False,False,,,,True,II (2002-2008),2007,2007-03-13 00:00:00,236000,Osoby prywatnej,,Benzyna,,Kombi,Niebieski,Używane,,4x4 (stały),Manualna,2021-04-07 17:58:00,https://www.otomoto.pl/oferta/subaru-forester-subaru-2-0-2007-salon-polska-ID6DmMuO.html#6099d8be63
6084036692,subaru,forester,Warszawa,Mazowieckie,150,1995,45500,PLN,,False,False,True,,True,,III (2008-2012),2012,2012-09-27 00:00:00,172500,Osoby prywatnej,,Benzyna,173,SUV,Szary,Używane,,4x4 (stały),Manualna,2021-04-07 17:50:00,https://www.otomoto.pl/oferta/subaru-forester-2-0xc-salon-polska-serwis-aso-wersja-comfort-manual-benzyna-ID6DJZS4.html#6099d8be63
6084006095,subaru,forester,Stargard Szczeciński,Zachodniopomorskie,150,1994,28700,PLN,Niemcy,False,,True,,True,,III (2008-2012),2008,,214000,Osoby prywatnej,,Benzyna+LPG,,SUV,Szary,Używane,True,4x4 (stały),Automatyczna,2021-04-07 00:59:00,https://www.otomoto.pl/oferta/subaru-forester-2-0i-automat-4x4-g-fotele-tempomat-parktronik-2kpl-kol-zima-lato-ID6DJRUz.html#6099d8be63
6083999998,subaru,forester,Łódź,Łódzkie,241,1998,79900,PLN,Polska,False,False,True,,True,,IV (2013-),2015,,93900,Firmy,True,Benzyna,,SUV,Szary,Używane,True,4x4 (stały),Automatyczna,2021-04-06 21:35:00,https://www.otomoto.pl/oferta/subaru-forester-salonpl-harmankardonxt-panorama-a-t-gwarancja-fv23-kredyt-leasing-ID6DJQke.html#6099d8be63
6083999645,subaru,forester,Poznań,Wielkopolskie,147,1998,24500,PLN,Polska,False,False,True,,,True,III (2008-2012),2008,2008-11-21 00:00:00,160000,Osoby prywatnej,,Diesel,,SUV,Niebieski,Używane,,4x4 (dołączany automatycznie),Manualna,2021-04-06 21:25:00,https://www.otomoto.pl/oferta/subaru-forester-subaru-forester-2-0-d-ID6DJQex.html#6099d8be63
6083012571,subaru,forester,Kraków,Małopolskie,175,2498,78000,PLN,Stany Zjednoczone,False,False,,,,,IV (2013-),2017,,56000,Osoby prywatnej,,Benzyna,,Kombi,Biały,Używane,,4x4 (stały),Automatyczna,2021-04-06 14:24:00,https://www.otomoto.pl/oferta/subaru-forester-prywatnie-bardzo-zadbany-garazowany-ID6DFHrZ.html#6099d8be63
6082909704,subaru,forester,Warszawa,Mazowieckie,150,1994,49990,PLN,Polska,False,False,,,True,,III (2008-2012),2012,2012-07-09 00:00:00,112253,Firmy,,Benzyna,,SUV,Szary,Używane,True,4x4 (stały),Automatyczna,2021-04-06 12:29:00,https://www.otomoto.pl/oferta/subaru-forester-automat-skory-hak-gwarancja-salon-pl-niski-przebieg-panorama-ID6DFgGQ.html#6099d8be63
6082791269,subaru,forester,Kocmyrzów,Małopolskie,158,1994,24000,PLN,Polska,False,,True,,True,,II (2002-2008),2007,2007-08-14 00:00:00,160200,Osoby prywatnej,,Benzyna+LPG,,SUV,Srebrny,Używane,,4x4 (stały),Manualna,2021-04-11 15:21:00,https://www.otomoto.pl/oferta/subaru-forester-subaru-forester-2-0-ID6DELSB.html#6099d8be63
6083880226,subaru,forester,Police,Zachodniopomorskie,147,1998,17900,PLN,Niemcy,False,,True,,True,,III (2008-2012),2010,,210000,Firmy,,Diesel,150,SUV,Niebieski,Używane,True,4x4 (dołączany automatycznie),Manualna,2021-04-11 15:18:00,https://www.otomoto.pl/oferta/subaru-forester-sliczny-gwarancja-ID6DJlaq.html#6099d8be63
6079061630,subaru,forester,Białystok,Podlaskie,150,1995,169500,PLN,Polska,False,,True,,,,V (2019 - ),2020,,1,Firmy,,Hybryda,,SUV,Brązowy,Nowe,,4x4 (stały),Automatyczna,2021-04-11 15:01:00,https://www.otomoto.pl/oferta/subaru-forester-subaru-forester-2-0-e-boxer-platinum-ID6Dp7D8.html#6099d8be63
6083489017,subaru,forester,Wrocław,Dolnośląskie,170,1994,4500,PLN,,False,False,,,,,I (1997-2002),2000,2000-05-04 00:00:00,326400,Osoby prywatnej,,Benzyna,,SUV,Czarny,Używane,,4x4 (dołączany automatycznie),Manualna,2021-04-11 14:39:00,https://www.otomoto.pl/oferta/subaru-forester-sturbo-my2000-po-lifcie-ID6DHHoB.html#6099d8be63
6082549093,subaru,forester,Gubin,Lubuskie,147,1998,25400,PLN,,False,,,,,,III (2008-2012),2009,,183000,Osoby prywatnej,,Diesel,167,SUV,Biały,Używane,,4x4 (stały),Manualna,2021-04-11 14:18:00,https://www.otomoto.pl/oferta/subaru-forester-klima-alufelgi-ID6DDKSx.html#6099d8be63
6083875118,subaru,forester,Nowy Sącz,Małopolskie,147,1998,64900,PLN,,False,False,,,,,IV (2013-),2016,,181000,Firmy,,Diesel,158,SUV,Szary,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-11 13:52:00,https://www.otomoto.pl/oferta/subaru-forester-2-0-diesel-147km-4x4-ID6DJjQ2.html#6099d8be63
6083796049,subaru,forester,Łodygowice,Śląskie,150,1997,19900,PLN,,False,,True,,True,,II (2002-2008),2007,,202000,Firmy,,Benzyna+LPG,,SUV,Srebrny,Używane,True,4x4 (stały),Manualna,2021-04-11 13:12:00,https://www.otomoto.pl/oferta/subaru-forester-2-0-lpg-benz-panprama-4x4-ID6DIZgJ.html#6099d8be63
6082552403,subaru,forester,Liszki,Małopolskie,150,1994,32500,PLN,,False,False,True,,True,,III (2008-2012),2008,,178000,Firmy,,Benzyna+LPG,,SUV,Szary,Używane,,4x4 (stały),Manualna,2021-04-11 13:10:00,https://www.otomoto.pl/oferta/subaru-forester-2-0-150km-gaz-lpg-bi-fuel-4x4-zero-korozji-panorama-pl-ID6DDLJW.html#6099d8be63
6082849367,subaru,forester,Masłów Pierwszy,Świętokrzyskie,150,1995,156999,PLN,Polska,False,,True,,,,V (2019 - ),2020,,10,Firmy,True,Benzyna,168,SUV,Niebieski,Nowe,,4x4 (stały),Automatyczna,2021-04-11 12:54:00,https://www.otomoto.pl/oferta/subaru-forester-2-0-e-boxer-wyprzedaz-2020-ostatnia-sztuka-ID6DF0ZF.html#6099d8be63
6083132485,subaru,forester,Ostrzeszów,Wielkopolskie,147,1998,9700,PLN,Szwajcaria,False,,,,True,,III (2008-2012),2009,,185000,Firmy,,Diesel,167,SUV,Niebieski,Używane,True,4x4 (stały),Manualna,2021-04-11 11:39:00,https://www.otomoto.pl/oferta/subaru-forester-4x4-po-oplatach-ID6DGcE5.html#6099d8be63
6083467996,subaru,forester,Bielsko-Biała,Śląskie,170,1994,11900,PLN,Szwajcaria,False,False,,,,,I (1997-2002),1999,1999-10-16 00:00:00,250000,Osoby prywatnej,,Benzyna,,SUV,Niebieski,Używane,,4x4 (dołączany automatycznie),Manualna,2021-04-11 11:16:00,https://www.otomoto.pl/oferta/subaru-forester-sprzedam-ID6DHBWy.html#6099d8be63
6083464255,subaru,forester,Białystok,Podlaskie,182,2500,61900,PLN,,False,,,,,,IV (2013-),2015,,65000,Firmy,,Benzyna,,SUV,Biały,Używane,,4x4 (stały),Manualna,2021-04-11 10:07:00,https://www.otomoto.pl/oferta/subaru-forester-manual-182km-2-5-benzyna-faktura-vat23-okazja-ID6DHAXd.html#6099d8be63
