ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6079664570,suzuki,across,Wrocław,Dolnośląskie,306,2500,259800,PLN,,False,,True,,,,,2020,,8,Firmy,True,Hybryda,,SUV,Szary,Używane,,4x4 (dołączany automatycznie),Automatyczna,2021-04-10 17:48:00,https://www.otomoto.pl/oferta/suzuki-across-nowy-suzuki-across-plug-in-hybrid-4x4-ID6DrEtY.html#fe1354a8ad
6083537382,suzuki,across,Warszawa,Mazowieckie,185,2487,233690,PLN,,False,,True,,,,,2021,,1,Firmy,,Benzyna,,SUV,Inny kolor,Nowe,,4x4 (dołączany ręcznie),Automatyczna,2021-04-10 15:20:00,https://www.otomoto.pl/oferta/suzuki-across-suzuki-across-ID6DHTYG.html#fe1354a8ad
6080712827,suzuki,across,Rybnik,Śląskie,185,2487,240900,PLN,,False,,True,,,,,2020,,1,Firmy,,Benzyna,,SUV,Szary,Nowe,,4x4 (dołączany ręcznie),Automatyczna,2021-04-10 13:58:00,https://www.otomoto.pl/oferta/suzuki-across-okazja-wersja-elegance-4wd-rozliczenie-zamiana-ID6Dv3bl.html#fe1354a8ad
6082650545,suzuki,across,Warszawa,Mazowieckie,185,2487,232900,PLN,Polska,False,False,True,,True,,,2020,,100,Firmy,True,Benzyna,,SUV,Czerwony,Nowe,True,4x4 (dołączany ręcznie),Automatyczna,2021-04-10 13:50:00,https://www.otomoto.pl/oferta/suzuki-across-elegance-4wd-2-5-306km-dostepny-od-reki-ID6DEbgR.html#fe1354a8ad
6080200443,suzuki,across,Elbląg,Warmińsko-mazurskie,306,2487,261800,PLN,Polska,False,,True,,,,,2020,,1,Firmy,True,Hybryda,,SUV,Srebrny,Nowe,,4x4 (dołączany automatycznie),Automatyczna,2021-04-10 11:21:00,https://www.otomoto.pl/oferta/suzuki-across-2-5hsd-306km-plug-in-fabrycznie-nowy-od-reki-salon-suzuki-elblag-ID6DtTT5.html#fe1354a8ad
6080966207,suzuki,across,Lublin,Lubelskie,306,2487,229800,PLN,,False,False,True,,,,,2020,,682,Firmy,,Hybryda,,SUV,Srebrny,Używane,True,4x4 (dołączany automatycznie),Automatyczna,2021-04-10 11:13:00,https://www.otomoto.pl/oferta/suzuki-across-elegance-2-5-plug-in-hybrid-e-cvt-4wd-306km-rabat-32-000zl-ID6Dx767.html#fe1354a8ad
6080533634,suzuki,across,Poznań,Wielkopolskie,306,2487,261800,PLN,Polska,False,,True,,,,,2020,,5,Firmy,True,Hybryda,,SUV,Biały,Nowe,,4x4 (dołączany automatycznie),Automatyczna,2021-04-09 14:50:00,https://www.otomoto.pl/oferta/suzuki-across-plug-in-hybrid-2-5-elegance-4wd-cvt-zakup-bez-wychodzenia-z-domu-ID6Dwiz8.html#fe1354a8ad
6080149234,suzuki,across,Gliwice,Śląskie,185,2487,241900,PLN,,False,,True,,,,,2020,,1,Firmy,True,Benzyna,,SUV,Czarny,Nowe,,4x4 (dołączany ręcznie),Automatyczna,2021-04-09 12:38:00,https://www.otomoto.pl/oferta/suzuki-across-hybryda-plug-in-306km-nowy-piekny-ID6DtGz8.html#fe1354a8ad
6080650109,suzuki,across,Świlcza,Podkarpackie,185,2487,239900,PLN,,False,,,,,,,2020,,90,Firmy,,Benzyna,,SUV,Biały,Używane,,4x4 (dołączany ręcznie),Automatyczna,2021-04-06 17:01:00,https://www.otomoto.pl/oferta/suzuki-across-suzuki-across-2-5-plug-in-hybrid-e-four-e-cvt-elegance-rocznik-2020-ID6DwMRL.html#fe1354a8ad
6081007349,suzuki,across,Marki,Mazowieckie,185,2487,249990,PLN,,False,,True,,,,,2020,,5,Firmy,,Benzyna,,SUV,Niebieski,Nowe,,4x4 (dołączany ręcznie),Automatyczna,2021-04-06 09:46:00,https://www.otomoto.pl/oferta/suzuki-across-2-5-plug-in-hybrid-e-four-e-cvt-elegance-ID6DxhNH.html#fe1354a8ad
6083936775,suzuki,across,Łódź,Łódzkie,185,2487,255000,PLN,,False,,True,,,,,2021,,2,Firmy,,Benzyna,,SUV,Biały,Nowe,,4x4 (dołączany ręcznie),Automatyczna,2021-04-03 22:51:00,https://www.otomoto.pl/oferta/suzuki-across-plug-in-306-km-rabat-7-000-zl-ID6DJzSw.html#fe1354a8ad
6067101299,suzuki,alto,Szczury,Wielkopolskie,68,1000,12900,PLN,Niemcy,False,,,,True,,,2010,2010-12-07 00:00:00,74000,Firmy,,Benzyna,,Auta małe,Inny kolor,Używane,True,Na przednie koła,Manualna,2021-04-11 08:36:00,https://www.otomoto.pl/oferta/suzuki-alto-raty-bez-bik-i-krd-stan-bdb-xxx-ID6CAVcz.html#9649e02592
6083712745,suzuki,alto,Nowy Dwór Gdański,Pomorskie,68,996,18900,PLN,Niemcy,False,,True,,,,,2010,2010-10-05 00:00:00,138000,Osoby prywatnej,,Benzyna,122,Auta miejskie,Czerwony,Używane,True,Na przednie koła,Automatyczna,2021-04-06 19:59:00,https://www.otomoto.pl/oferta/suzuki-alto-automat-klima-ID6DIDB7.html#9649e02592
6084170589,suzuki,alto,Żuromin,Mazowieckie,70,1000,12500,PLN,,False,,True,,True,,,2010,,204000,Firmy,,Benzyna,,Auta miejskie,Niebieski,Używane,True,,Manualna,2021-04-11 13:35:00,https://www.otomoto.pl/oferta/suzuki-alto-klima-elektryka-dwa-komplety-kol-gwarancja-ID6DKyHH.html#9649e02592
