ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6051727278,trabant,601,Ełk,Warmińsko-mazurskie,26,594,10900,PLN,Polska,False,False,True,,True,,,1986,,64974,Osoby prywatnej,,Benzyna,,Auta małe,Szary,Używane,True,Na przednie koła,Manualna,2021-04-08 23:40:00,https://www.otomoto.pl/oferta/trabant-601-hycomat-czarne-tablice-oryginal-ID6ByqIu.html#e6b1948e94
6082180814,trabant,601,Kraków,Małopolskie,25,595,8400,PLN,,False,,,,,,,1972,1972-05-31 00:00:00,25620,Osoby prywatnej,,Benzyna,,Auta miejskie,Inny kolor,Używane,,,Manualna,2021-04-11 21:25:00,https://www.otomoto.pl/oferta/trabant-601-trabant-kombi-1972-zabytek-ID6DCd4y.html#e6b1948e94
6077999745,trabant,601,Aleksandrów Łódzki,Łódzkie,601,601,12000,PLN,,False,,,,,,,1975,,68000,Osoby prywatnej,,Benzyna,,Sedan,Biały,Używane,,,Manualna,2021-04-11 10:36:00,https://www.otomoto.pl/oferta/trabant-601-trabant-601-ID6DkFnX.html#e6b1948e94
6083455719,trabant,601,Śrem,Wielkopolskie,26,594,10000,PLN,,False,,,,,,,1987,,10000,Osoby prywatnej,,Benzyna,,Auta małe,Beżowy,Używane,,,Manualna,2021-04-10 17:29:00,https://www.otomoto.pl/oferta/trabant-601-ID6DHyJx.html#e6b1948e94
6082625669,trabant,601,Wojakowa,Małopolskie,26,594,7500,PLN,,False,,,,,,,1991,1991-02-04 00:00:00,42000,Osoby prywatnej,,Benzyna,,Auta małe,Niebieski,Używane,,Na przednie koła,Manualna,2021-04-09 10:02:00,https://www.otomoto.pl/oferta/trabant-601-trabant-601-ID6DE4ND.html#e6b1948e94
6075024007,trabant,601,Koszalin,Zachodniopomorskie,23,594,4900,PLN,,False,,,,,,,1964,,1111,Firmy,,Benzyna,,Coupe,Niebieski,Używane,,,Manualna,2021-04-05 11:56:00,https://www.otomoto.pl/oferta/trabant-601-ddroska-motoryzacja-16-ID6D8bgb.html#e6b1948e94
6075023235,trabant,601,Koszalin,Zachodniopomorskie,1,1111,8900,PLN,,False,,,,,,,1964,,45288,Firmy,,Benzyna,,Kombi,Inny kolor,Używane,,,Manualna,2021-04-05 11:54:00,https://www.otomoto.pl/oferta/trabant-601-kup-i-zrob-9-ID6D8b3J.html#e6b1948e94
6075023221,trabant,601,Koszalin,Zachodniopomorskie,1,1111,2900,PLN,,False,,,,,,,1964,,1111,Firmy,,Benzyna,,Kombi,Biały,Używane,,,Manualna,2021-04-05 11:53:00,https://www.otomoto.pl/oferta/trabant-601-kup-i-zrob-8-ID6D8b3w.html#e6b1948e94
6078400925,trabant,601,Legnica,Dolnośląskie,23,601,9900,PLN,,False,,True,,,,,1972,,34000,Osoby prywatnej,,Benzyna,,Kompakt,Beżowy,Używane,True,,Manualna,2021-04-03 16:19:00,https://www.otomoto.pl/oferta/trabant-601-zarejestrowany-wazne-oc-i-badanie-techniczne-jezdzacy-bez-nakladow-ID6DmlKB.html#e6b1948e94
6080826100,trabant,601,Cieszyn,Śląskie,1,600,17500,PLN,,True,,,,,,,1976,,67000,Osoby prywatnej,,Benzyna,,Auta małe,Niebieski,Używane,,,Manualna,2021-04-02 19:58:00,https://www.otomoto.pl/oferta/trabant-601-trabant-601-klasyk-zabytek-orginal-igla-ID6DvvEk.html#e6b1948e94
,trabant,601,Kraków,Małopolskie,,,,,,False,,,,,,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/trabant-601-trabant-601-ID6Dx6Yl.html#e6b1948e94
6083886501,trabant,other,Zawiercie,Śląskie,23,595,12700,PLN,Niemcy,False,,,,,,,1964,1964-04-30 00:00:00,25000,Firmy,,Benzyna,,Auta małe,Brązowy,Używane,,Na przednie koła,Manualna,2021-04-11 17:09:00,https://www.otomoto.pl/oferta/trabant-p60-idealna-baza-do-odnowy-sprawny-kompletny-ID6DJmND.html#ca19cbbbc6
6080108718,trabant,other,Zgierz,Łódzkie,22,690,11500,PLN,,False,,,,,,,1957,,1,Firmy,,Benzyna,,Auta małe,Niebieski,Używane,,,Manualna,2021-04-08 19:10:00,https://www.otomoto.pl/oferta/trabant-trabant-awz-p70-bardzo-dobrze-zachowany-sprawny-polecam-zobacz-ID6Dtv1E.html#ca19cbbbc6
6075027279,trabant,other,Koszalin,Zachodniopomorskie,23,594,15900,PLN,,False,,,,,,,1964,,20795,Firmy,,Benzyna,,Coupe,Inny kolor,Używane,,,Manualna,2021-04-05 11:57:00,https://www.otomoto.pl/oferta/trabant-600-ostatnie-sztuki-w-polsce-22-ID6D8c6X.html#ca19cbbbc6
6075026635,trabant,other,Koszalin,Zachodniopomorskie,23,594,15900,PLN,,False,,,,,,,1964,,20795,Firmy,,Benzyna,,Coupe,Inny kolor,Używane,,,Manualna,2021-04-05 11:57:00,https://www.otomoto.pl/oferta/trabant-600-ostatnie-sztuki-w-polsce-21-ID6D8bVz.html#ca19cbbbc6
6076843101,trabant,other,Koszalin,Zachodniopomorskie,23,594,24900,PLN,,False,,,,,,,1962,,30783,Firmy,,Benzyna,,Coupe,Niebieski,Używane,,,Manualna,2021-04-05 11:44:00,https://www.otomoto.pl/oferta/trabant-600-super-stan-ID6DfOup.html#ca19cbbbc6
6083221735,trabant,other,Żarnówka,Małopolskie,23,600,10000,PLN,,False,,,,,,,1962,,123,Osoby prywatnej,,Benzyna,,Sedan,Biały,Używane,,,Manualna,2021-04-02 14:20:00,https://www.otomoto.pl/oferta/trabant-trabant-600-p60-500-p50-ID6DGzRB.html#ca19cbbbc6
6078257812,trabant,p-50,Zgierz,Łódzkie,20,499,8900,PLN,,False,,True,,,,60,1962,,1,Firmy,,Benzyna,,Auta małe,Zielony,Używane,,,Manualna,2021-04-09 13:01:00,https://www.otomoto.pl/oferta/trabant-p-50-trabant-500-p50-odpala-jezdzi-dobrze-zachowany-nrd-zobacz-ID6DlKvk.html#d056d9e6e2
