ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6083790907,uaz,3153,Lubuczewo,Pomorskie,80,2417,50430,PLN,,False,False,True,,,,,2004,,26000,Osoby prywatnej,,Diesel,,SUV,Zielony,Używane,,4x4 (dołączany ręcznie),Manualna,2021-04-09 12:25:00,https://www.otomoto.pl/oferta/uaz-3153-uaz-hunter-z-placu-czerwonego-ID6DIXWN.html#b9a719dca2
6082984931,uaz,469-b,Ustka,Pomorskie,75,2445,11000,PLN,,False,,,,,,,1990,,28337,Osoby prywatnej,,Benzyna+LPG,,SUV,Zielony,Używane,,,Manualna,2021-04-06 17:11:00,https://www.otomoto.pl/oferta/uaz-469-b-1990r-zamiana-ID6DFAgb.html#11552a8f71
6083674889,uaz,469-b,Białobrzegi,Mazowieckie,150,2900,13800,PLN,,False,,,,,,,1990,,150000,Osoby prywatnej,,Benzyna,,SUV,Czarny,Używane,,,Manualna,2021-04-06 09:32:00,https://www.otomoto.pl/oferta/uaz-469-b-zmota-off-road-ID6DItKx.html#11552a8f71
6077004626,uaz,469-b,Rzeszów,Podkarpackie,100,3000,22900,PLN,Polska,False,,,,,,,2015,,1000,Osoby prywatnej,,Benzyna,,SUV,Inny kolor,Używane,,,Manualna,2021-04-03 17:31:00,https://www.otomoto.pl/oferta/uaz-469-b-zmota-na-bazie-uaza-simex-afgan-nowy-silnik-3-0-ID6DguwE.html#11552a8f71
6079326632,uaz,other,Toruń,Kujawsko-pomorskie,148,2693,57500,PLN,,False,False,True,,,,,2020,,1,Osoby prywatnej,,Benzyna,,SUV,Czarny,Używane,,,Manualna,2021-04-10 20:10:00,https://www.otomoto.pl/oferta/uaz-hunter-nowy-0km-stan-magazynowy-z-kontyngentu-na-afganistan-vat-23-ID6Dqezm.html#cf24a34408
6072851661,uaz,other,Przyborów,Lubuskie,128,2699,70200,PLN,,False,,True,,,,,2020,,1,Firmy,True,Benzyna,,SUV,Czarny,Nowe,,,Manualna,2021-04-08 18:30:00,https://www.otomoto.pl/oferta/uaz-hunter-classic-2-7-128-ps-ID6CZ48l.html#cf24a34408
6074390278,uaz,other,Przyborów,Lubuskie,150,2699,105165,PLN,,False,False,,,True,,,2019,,29000,Firmy,True,Benzyna,,SUV,Brązowy,Używane,True,4x4 (dołączany ręcznie),Manualna,2021-04-08 18:30:00,https://www.otomoto.pl/oferta/uaz-uaz-patriot-2-7-150km-2019r-ID6D5voK.html#cf24a34408
6072846386,uaz,other,Przyborów,Lubuskie,150,2700,96300,PLN,Rosja,False,,True,,,,,2020,,1,Firmy,True,Benzyna,,SUV,Czarny,Nowe,,4x4 (dołączany ręcznie),Manualna,2021-04-08 18:29:00,https://www.otomoto.pl/oferta/uaz-patriot-prestige-2-7-150-km-ID6CZ2Lg.html#cf24a34408
6072855798,uaz,other,Przyborów,Lubuskie,116,2300,95175,PLN,Rosja,False,,True,,,,,2020,,1,Firmy,True,Diesel,,SUV,Szary,Nowe,,4x4 (dołączany ręcznie),Manualna,2021-04-08 18:29:00,https://www.otomoto.pl/oferta/uaz-pickup-diesel-comfort-2-3-116-ps-ID6CZ5d4.html#cf24a34408
6019123205,uaz,other,Wysogotowo,Wielkopolskie,168,2800,97170,PLN,Rosja,False,False,True,,True,,,2020,2020-01-01 00:00:00,1,Firmy,True,Benzyna,,SUV,Zielony,Nowe,True,4x4 (dołączany ręcznie),Manualna,2021-04-08 15:09:00,https://www.otomoto.pl/oferta/uaz-profi-podwojna-kabina-naped-4x4-2020-ID6zlCUl.html#cf24a34408
6066313887,uaz,other,Wysogotowo,Wielkopolskie,168,2700,119000,PLN,Rosja,False,False,True,,True,,,2020,2019-09-01 00:00:00,1,Firmy,True,Benzyna,,SUV,Czarny,Nowe,True,4x4 (dołączany ręcznie),Manualna,2021-04-08 15:08:00,https://www.otomoto.pl/oferta/uaz-patriot-w-wersji-luxe-ID6CxDmn.html#cf24a34408
6008236173,uaz,other,Wysogotowo,Wielkopolskie,148,2693,79900,PLN,Rosja,False,False,True,,True,,,2020,2020-01-01 00:00:00,1,Firmy,True,Benzyna,,SUV,Zielony,Nowe,True,4x4 (dołączany ręcznie),Manualna,2021-04-08 15:06:00,https://www.otomoto.pl/oferta/uaz-hunter-2021-i-wszystkie-inne-modele-uaz-ID6yBVH3.html#cf24a34408
6083994107,uaz,other,Krzeszowice,Małopolskie,52,1000,6500,PLN,,False,,,,,,,2010,,12000,Osoby prywatnej,,Benzyna,,SUV,Żółty,Używane,,4x4 (dołączany ręcznie),Manualna,2021-04-06 20:28:00,https://www.otomoto.pl/oferta/uaz-luaz-969-4x4-fiat-ID6DJONd.html#cf24a34408
6077338855,uaz,other,Warszawa,Mazowieckie,134,2700,116850,PLN,,False,,True,,,,,2021,,1,Firmy,,Benzyna,,SUV,Inny kolor,Nowe,,4x4 (dołączany ręcznie),Manualna,2021-04-04 16:11:00,https://www.otomoto.pl/oferta/uaz-uaz-hunter-expedition-polmotor-warszawa-ID6DhTsr.html#cf24a34408
