ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6084210016,volkswagen,passat,Niedary,Małopolskie,140,1968,3999,PLN,,False,False,,,,,B6 (2005-2010),2005,,238000,Osoby prywatnej,,Diesel,174,Sedan,Czarny,Używane,,4x4 (stały),Manualna,2021-04-12 22:54:00,https://www.otomoto.pl/oferta/volkswagen-passat-2-0-tdi-okazja-ID6DKIXC.html#c049846f74
6076258225,volkswagen,passat,Jawornik,Małopolskie,150,2000,72986,PLN,Polska,False,,,,True,,B8 (2014-),2017,,160900,Firmy,,Diesel,,Kombi,Srebrny,Używane,True,Na przednie koła,Automatyczna,2021-04-12 22:23:00,https://www.otomoto.pl/oferta/volkswagen-passat-highline-dsg-appconnect-fotele-ergocomfort-skora-alcan-vat-gwar-ID6DdmkW.html#c049846f74
6084209199,volkswagen,passat,Żelazna,Łódzkie,140,1968,13500,PLN,Polska,False,False,,,,,B6 (2005-2010),2006,2006-10-04 00:00:00,265500,Osoby prywatnej,,Diesel,156,Sedan,Szary,Używane,,Na przednie koła,Manualna,2021-04-12 22:15:00,https://www.otomoto.pl/oferta/volkswagen-passat-vw-passat-2-0-ID6DKIKr.html#c049846f74
6083997041,volkswagen,passat,Wieszowa,Śląskie,262,2000,18300,PLN,Niemcy,False,False,True,,,,B6 (2005-2010),2006,,222000,Osoby prywatnej,,Benzyna,,Sedan,Niebieski,Używane,,Na przednie koła,Automatyczna,2021-04-12 20:57:00,https://www.otomoto.pl/oferta/volkswagen-passat-abt-262km-i-387nm-ID6DJPyx.html#c049846f74
6083427912,volkswagen,passat,Swarzędz,Wielkopolskie,179,1798,47000,PLN,Polska,False,False,True,,True,,B8 (2014-),2015,,228000,Osoby prywatnej,,Benzyna,135,Sedan,Szary,Używane,,Na przednie koła,Manualna,2021-04-12 20:57:00,https://www.otomoto.pl/oferta/volkswagen-passat-passat-b8-1-8-180-km-ID6DHrw2.html#c049846f74
6083994695,volkswagen,passat,Suszec,Śląskie,140,1968,42900,PLN,Polska,False,False,True,,,,B7 (2010-2014),2012,2012-07-12 00:00:00,173868,Osoby prywatnej,,Diesel,119,Sedan,Niebieski,Używane,True,Na przednie koła,Manualna,2021-04-12 20:46:00,https://www.otomoto.pl/oferta/volkswagen-passat-volkswagen-passat-2-0-tdi-1-wlasciciel-salon-polska-ID6DJOVH.html#c049846f74
6083993860,volkswagen,passat,Koszalin,Zachodniopomorskie,140,1968,23000,PLN,Niemcy,False,False,,,,,B6 (2005-2010),2008,2008-05-07 00:00:00,250000,Osoby prywatnej,,Diesel,,Kombi,Czarny,Używane,,Na przednie koła,Manualna,2021-04-12 20:32:00,https://www.otomoto.pl/oferta/volkswagen-passat-b6-highline-2-0-tdi-cr-ID6DJOJe.html#c049846f74
6083223091,volkswagen,passat,Burszewo,Warmińsko-mazurskie,140,1968,29800,PLN,,False,False,True,,True,,B7 (2010-2014),2011,2011-11-11 00:00:00,231542,Osoby prywatnej,,Diesel,135,Kombi,Czarny,Używane,,Na przednie koła,Automatyczna,2021-04-12 20:07:00,https://www.otomoto.pl/oferta/volkswagen-passat-2-0-tdi-automat-navi-2kpl-kol-zadbany-ID6DGAdt.html#c049846f74
6083993022,volkswagen,passat,Łódź,Łódzkie,150,1968,62000,PLN,Polska,False,False,,,True,,B8 (2014-),2015,2015-11-18 00:00:00,143264,Firmy,True,Diesel,,Kombi,Niebieski,Używane,True,Na przednie koła,Automatyczna,2021-04-12 19:28:00,https://www.otomoto.pl/oferta/volkswagen-passat-2-0-tdi-salon-polska-1-wlasciciel-serwis-aso-automat-vat-23-ID6DJOwI.html#c049846f74
6083919901,volkswagen,passat,Rybnik,Śląskie,150,1968,61900,PLN,,False,False,True,,True,,B8 (2014-),2017,2017-06-26 00:00:00,155300,Osoby prywatnej,,Diesel,109,Sedan,Szary,Używane,True,Na przednie koła,Manualna,2021-04-12 19:25:00,https://www.otomoto.pl/oferta/volkswagen-passat-vw-passat-stan-idealny-serwis-aso-ID6DJwul.html#c049846f74
6083849640,volkswagen,passat,Piaseczno,Mazowieckie,140,1968,43000,PLN,,False,False,,,True,,B7 (2010-2014),2013,2013-08-21 00:00:00,132527,Firmy,True,Diesel,,Kombi,Czarny,Używane,True,Na przednie koła,Manualna,2021-04-12 19:20:00,https://www.otomoto.pl/oferta/volkswagen-passat-2-0-tdi-1-wlasciciel-serwis-aso-klimatronic-tempomat-parktronic-ID6DJdd6.html#c049846f74
6070026148,volkswagen,passat,Łódź,Łódzkie,150,1498,142900,PLN,Polska,False,,True,,,,B8 (2014-),2020,,1,Firmy,True,Diesel,,Sedan,Srebrny,Nowe,,Na przednie koła,Automatyczna,2021-04-12 19:15:00,https://www.otomoto.pl/oferta/volkswagen-passat-lim-elegance-2-0tdi-150km-dsg-led-matrix-park-assist-wyprzedaz-ID6CNd5y.html#c049846f74
6080909791,volkswagen,passat,Łódź,Łódzkie,150,1498,104900,PLN,Polska,False,,True,,,,B8 (2014-),2021,,1,Firmy,True,Benzyna,,Kombi,Inny kolor,Nowe,,Na przednie koła,Manualna,2021-04-12 19:05:00,https://www.otomoto.pl/oferta/volkswagen-passat-var-essence-1-5tsi-150km-app-connect-podgrz-fot-alarm-vw-leasing-ID6DvSqb.html#c049846f74
6083625657,volkswagen,passat,Paniówki,Śląskie,105,1896,16000,PLN,Niemcy,False,,True,,True,,B6 (2005-2010),2007,,198000,Firmy,,Diesel,153,Kombi,Niebieski,Używane,,Na przednie koła,Manualna,2021-04-12 18:46:00,https://www.otomoto.pl/oferta/volkswagen-passat-oplac-serwis-1-9-tdi-climatr-aluf-zadbany-2-wlasciciel-gwarancja-ID6DIgVt.html#c049846f74
6081596916,volkswagen,passat,Łódź,Łódzkie,200,1968,180900,PLN,Polska,False,,True,,,,B8 (2014-),2021,,1,Firmy,True,Diesel,,Sedan,Niebieski,Nowe,,Na przednie koła,Automatyczna,2021-04-12 18:45:00,https://www.otomoto.pl/oferta/volkswagen-passat-lim-elegance-2-0tdi-r-line-200km-dsg-led-matrix-kamera-vw-leasing-ID6DzLaQ.html#c049846f74
6083991667,volkswagen,passat,Ostrowiec Świętokrzyski,Świętokrzyskie,190,1968,68555,PLN,Niemcy,False,False,True,,True,,B8 (2014-),2015,2015-06-13 00:00:00,222333,Osoby prywatnej,True,Diesel,109,Kombi,Brązowy,Używane,,Na przednie koła,Manualna,2021-04-12 18:22:00,https://www.otomoto.pl/oferta/volkswagen-passat-virtualcocpit-aktywnytempomat-kamera-asystentparkowania-full-led-ID6DJO9R.html#c049846f74
6083003354,volkswagen,passat,Pawłowice,Śląskie,150,1968,58900,PLN,Niemcy,False,,True,,True,,B8 (2014-),2016,,181000,Firmy,True,Diesel,110,Kombi,Inny kolor,Używane,True,Na przednie koła,Manualna,2021-04-12 17:07:00,https://www.otomoto.pl/oferta/volkswagen-passat-highline-150km-virtual-cockpit-panorama-skora-fuled-navi-keyless-acc-ID6DFF3k.html#c049846f74
6083003199,volkswagen,passat,Pawłowice,Śląskie,150,1968,62900,PLN,Niemcy,False,,True,,True,,B8 (2014-),2018,,182000,Firmy,True,Diesel,122,Kombi,Szary,Używane,True,Na przednie koła,Automatyczna,2021-04-12 17:06:00,https://www.otomoto.pl/oferta/volkswagen-passat-highline-150km-virtual-cockpit-skora-fuled-navi-keyless-acc-ID6DFF0P.html#c049846f74
6082458856,volkswagen,passat,Łódź,Łódzkie,120,1598,64900,PLN,Polska,False,False,,,True,,B8 (2014-),2017,2017-12-28 00:00:00,123969,Firmy,,Diesel,,Kombi,Czerwony,Używane,True,Na przednie koła,Manualna,2021-04-12 16:56:00,https://www.otomoto.pl/oferta/volkswagen-passat-b8-var-1-6tdi-120km-6g-topled-actinfodisp-navpro-acc210-parkpilot-16-ID6DDnp6.html#c049846f74
