ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6081311110,volvo,262,Zgierz,Łódzkie,109,2100,35900,PLN,Stany Zjednoczone,False,,True,,,,,1980,,92800,Firmy,,Benzyna,,Sedan,Beżowy,Używane,,Na tylne koła,Automatyczna,2021-04-05 15:13:00,https://www.otomoto.pl/oferta/volvo-262-volvo-264-gle-1980-2-1-super-stan-ID6DyyP4.html#c29c0387f0
6080339912,volvo,262,Turek,Wielkopolskie,140,2700,29900,PLN,,False,,,,,,,1980,,78000,Firmy,,Benzyna,,Coupe,Niebieski,Używane,,,Automatyczna,2021-03-29 10:54:00,https://www.otomoto.pl/oferta/volvo-262-bertone-ID6DuuaA.html#c29c0387f0
6059964382,volvo,340,Oleśnica,Dolnośląskie,82,1721,14000,PLN,Hiszpania,False,False,True,,True,,,1988,1989-02-24 00:00:00,96760,Firmy,,Benzyna,,Kompakt,Złoty,Używane,True,Na tylne koła,Manualna,2021-04-08 13:15:00,https://www.otomoto.pl/oferta/volvo-340-1-7-benzyna-klima-96-tys-km-1-wlasciciel-z-hiszpanii-0-rdzy-tyl-naped-ID6C6Zz0.html#3009cf6173
6080295037,volvo,340,Paczków,Opolskie,89,1995,8900,PLN,Niemcy,False,,True,,,,,1982,,116000,Osoby prywatnej,,Benzyna,,Kompakt,Inny kolor,Używane,,Na tylne koła,Manualna,2021-04-07 08:48:00,https://www.otomoto.pl/oferta/volvo-340-volvo-360-2-0-ID6DuiuN.html#3009cf6173
6082819157,volvo,744,Żary,Lubuskie,85,2316,10900,PLN,,False,,True,,,,,1990,1990-04-10 00:00:00,237000,Osoby prywatnej,,Benzyna,,Kombi,Czarny,Używane,,Na przednie koła,Manualna,2021-04-06 18:23:00,https://www.otomoto.pl/oferta/volvo-744-carawan-pogrzebowy-ID6DET8p.html#b4325b1517
6083355599,volvo,850,Pleszew,Wielkopolskie,143,1984,8300,PLN,Niemcy,False,,True,,,,,1995,,330000,Firmy,,Benzyna,,Kombi,Zielony,Używane,,Na przednie koła,Manualna,2021-04-10 22:17:00,https://www.otomoto.pl/oferta/volvo-850-2-0i-20v-143km-kombi-manual-bezwypadkowy-oryginal-ID6DH8GH.html#5bb9d17e9f
6084164977,volvo,850,Nieporęt,Mazowieckie,225,2319,16800,PLN,Szwecja,False,,True,,,,,1994,1994-09-28 00:00:00,252000,Firmy,,Benzyna,,Kombi,Biały,Używane,True,Na przednie koła,Manualna,2021-04-10 20:35:00,https://www.otomoto.pl/oferta/volvo-850-t5-2-3-turbo-225km-manual-2-wl-klima-nowe-opony-zadbany-ID6DKxfb.html#5bb9d17e9f
6083455493,volvo,850,Mława,Mazowieckie,126,1984,3200,PLN,,False,,,,,,,1995,,337500,Osoby prywatnej,,Benzyna,,Sedan,Niebieski,Używane,,Na przednie koła,Manualna,2021-04-10 17:06:00,https://www.otomoto.pl/oferta/volvo-850-volvo-850-youngtimer-jeden-wlasciciel-przez-23-lata-ID6DHyFT.html#5bb9d17e9f
6083440872,volvo,850,Bydgoszcz,Kujawsko-pomorskie,144,2435,5400,PLN,,False,,,,,,,1995,,315600,Osoby prywatnej,,Benzyna,,Kombi,Czarny,Używane,,Na przednie koła,Automatyczna,2021-04-09 16:00:00,https://www.otomoto.pl/oferta/volvo-850-volvo-850-2-4-benzyna-automat-ID6DHuS4.html#5bb9d17e9f
6083283884,volvo,850,Garwolin,Mazowieckie,144,2435,7999,PLN,,False,,True,,,,,1996,,281000,Osoby prywatnej,,Benzyna,,Kombi,Czarny,Używane,,Na przednie koła,Manualna,2021-04-08 22:09:00,https://www.otomoto.pl/oferta/volvo-850-bogata-opcja-wyposazenia-idealny-stan-techniczny-ID6DGQ20.html#5bb9d17e9f
