ID,Marka,Model,Miasto,Wojewodztwo,Moc,Poj. sil,Cena,Waluta,Kraj poch.,Czy zabytek,Czy zarej. w Polsce,Czy bezwypadkowy,Czy Anglik,Serwisowany w ASO,Filtr DPF,Generacja,Rok prod.,Pierwsza rejestracja,Przebieg,Oferta od,Czy leasing,Rodzaj paliwa,Emisja CO2,Typ,Kolor,Stan,Czy pierwsz. właśc,Napęd,Skrzynia biegów,Data dodania,Link
6076749288,wolga,gaz-21,Poznań,Wielkopolskie,75,2445,98000,PLN,,False,,,,,,,1958,,33232,Firmy,,Benzyna,,Sedan,Czarny,Używane,,,Manualna,2021-04-12 16:11:00,https://www.otomoto.pl/oferta/wolga-gaz-21-wolga-gaz-21-ID6Dfq5i.html#da57475416
6080891936,wolga,gaz-21,Częstochowa,Śląskie,80,2445,24500,PLN,Ukraina,False,False,,,,,,1962,,30000,Osoby prywatnej,,Benzyna,,Sedan,Biały,Używane,,,Manualna,2021-04-09 16:26:00,https://www.otomoto.pl/oferta/wolga-gaz-21-zarejestrowana-ubezpieczona-sprawna-ID6DvNMc.html#da57475416
6083776665,wolga,gaz-21,Jędrzychów,Opolskie,80,2400,39500,PLN,Rosja,True,False,,,,,,1962,,30000,Osoby prywatnej,,Benzyna,,Sedan,Niebieski,Używane,,,Manualna,2021-04-08 21:34:00,https://www.otomoto.pl/oferta/wolga-gaz-21-wolga-gaz-21-ID6DIUe5.html#da57475416
6080792703,wolga,gaz-21,Naprawa,Małopolskie,75,2400,19900,PLN,,False,,,,,,,1964,,47109,Firmy,,Benzyna,,Sedan,Biały,Używane,,Na tylne koła,Manualna,2021-04-08 19:54:00,https://www.otomoto.pl/oferta/wolga-gaz-21-wolga-gaz-ID6DvnXF.html#da57475416
6080820391,wolga,gaz-21,Brodnica,Kujawsko-pomorskie,75,2445,61000,PLN,,True,False,,,,,,1961,,748,Osoby prywatnej,,Benzyna,,Sedan,Niebieski,Używane,,,Manualna,2021-04-06 12:49:00,https://www.otomoto.pl/oferta/wolga-gaz-21-ID6Dvwaf.html#da57475416
6083519559,wolga,gaz-24,Wysogotowo,Wielkopolskie,100,2445,22999,PLN,,False,,True,,,,,1982,,98600,Firmy,,Benzyna,,Sedan,Zielony,Używane,,Na przednie koła,Manualna,2021-04-12 06:33:00,https://www.otomoto.pl/oferta/wolga-gaz-24-gaz-24-oryginalny-stan-zarejestrowana-i-ubezpieczona-w-polsce-ID6DHPld.html#96e7ef5fa6
6084124371,wolga,gaz-24,Zamość,Lubelskie,105,2445,27000,PLN,,False,False,True,,,,,1983,,190000,Osoby prywatnej,,Benzyna,,Sedan,Biały,Używane,,Na tylne koła,Manualna,2021-04-09 18:11:00,https://www.otomoto.pl/oferta/wolga-gaz-24-wolga-milicja-ID6DKmGf.html#96e7ef5fa6
6083389223,wolga,gaz-24,Kraków,Małopolskie,95,2445,27999,PLN,Ukraina,False,,True,,,,,1982,,83000,Osoby prywatnej,,Benzyna,,Sedan,Beżowy,Używane,True,,Manualna,2021-04-07 18:54:00,https://www.otomoto.pl/oferta/wolga-gaz-24-ID6DHhr1.html#96e7ef5fa6
,wolga,gaz-24,Kamionka,Podkarpackie,,,,,,False,,,,,,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/wolga-gaz-24-ID6DoOlL.html#96e7ef5fa6
6076135938,wolga,other,Niepołomice,Małopolskie,80,2400,19900,PLN,,False,,,,,,,1960,,89551,Osoby prywatnej,,Benzyna,,Sedan,Szary,Używane,,,Manualna,2021-04-12 07:44:00,https://www.otomoto.pl/oferta/wolga-gaz-m20-pobieda-fso-warszawa-m-20-garbuska-wolga-ID6DcQvy.html#181e43e57a
